Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ALTEN - CO2e Indirect Emissions Scope 3,FR0000071946(ENERDP096),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13335.55,18300.7,187457,82244.8
ALTEN - CO2 Equivalents Emission Total,FR0000071946(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3970,2636.1,11965.3,11215.2
ALTRI SGPS - CO2e Indirect Emissions Scope 3,PTALT0AE0002(ENERDP096),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284876,253039
ALTRI SGPS - CO2 Equivalents Emission Total,PTALT0AE0002(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126284,176938,148078
AMADEUS FIRE - CO2e Indirect Emissions Scope 3,DE0005093108(ENERDP096),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,937.32,1133.48,1219.64
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
AMADEUS IT GROUP - CO2e Indirect Emissions Scope 3,ES0109067019(ENERDP096),NA,NA,3557,3955,5093,5393,6218,7519,8872,7944,7712,9468,7424,2886
AMADEUS IT GROUP - CO2 Equivalents Emission Total,ES0109067019(ENERDP023),NA,NA,19803,20837,27191,27831,28177,32229,34171,36856,40074,48217,20062,15068
AMBEA - CO2e Indirect Emissions Scope 3,SE0009663826(ENERDP096),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22958,23617
AMBEA - CO2 Equivalents Emission Total,SE0009663826(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9154,3964
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
AMBU B - CO2 Equivalents Emission Total,DK0060946788(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15741,14613,18085,19206
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
AMG ADVD.METALLURGICAL - CO2 Equivalents Emission Total,NL0000888691(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412499,540162,460481
AMPLIFON - CO2e Indirect Emissions Scope 3,IT0004056880(ENERDP096),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2123,2157,4871,994
AMPLIFON - CO2 Equivalents Emission Total,IT0004056880(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13016,14699,17149,13225
AMUNDI - CO2e Indirect Emissions Scope 3,FR0004125920(ENERDP096),NA,NA,NA,NA,NA,NA,NA,NA,NA,6347,7018,8154.3,8009.2,1740.67
AMUNDI - CO2 Equivalents Emission Total,FR0004125920(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,2124.9,2674.9,3864.8,3745.2,3671.33
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
ANDRITZ - CO2 Equivalents Emission Total,AT0000730007(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93350,98958,134117
ANHEUSER-BUSCH INBEV - CO2e Indirect Emissions Scope 3,BE0974293251(ENERDP096),NA,NA,NA,12283,9238,84270,NA,NA,NA,NA,26170000,25180000,26440000,23660000
ANHEUSER-BUSCH INBEV - CO2 Equivalents Emission Total,BE0974293251(ENERDP023),NA,5140000,4550000,4250000,4367743,5320000,5900000,6070000,5180000,4680000,6180000,6030000,5360000,4710000
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
ANIMA HOLDING - CO2 Equivalents Emission Total,IT0004998065(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,548,542,452
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
ANORA GROUP - CO2 Equivalents Emission Total,FI4000292438(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66668.4,70291.7
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
APERAM - CO2 Equivalents Emission Total,LU0569974404(ENERDP023),NA,NA,NA,NA,1190000,970000,950000,1000000,1350000,1450000,1225000,1225000,1200000,1175000
APPLUS SERVICIOS - CO2e Indirect Emissions Scope 3,ES0105022000(ENERDP096),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129462,107423
APPLUS SERVICIOS - CO2 Equivalents Emission Total,ES0105022000(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63442.9,68535,56485
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
AQUAFIL - CO2 Equivalents Emission Total,IT0005241192(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86251,51512,50408
ARCADIS - CO2e Indirect Emissions Scope 3,NL0006237562(ENERDP096),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40483.9,37631.3,13690.1
