"","X.1","Country","year","ISIN","X","scope1","scope2","scope3","scope_total","CURRENCY","Rev","Emp","TA","NPPE","INTAN","Debt_comm_eq","Capex","PPEG","Dprc","Accr","S_pillar","E_pillar","G_pillar","NCFOA","Debt_TotCap","GMAR","OIBD","OI","NS_WC","iso","FuelInten","Income.group","CO2_imp","ggroup","gind","gsector","gsubind","naics","naicsh"
"2913",2913,"GERMANY",2014,"DE000A0D9PT0",1047,28002,44006,NA,72008,"E",3913900,8333,4776700,610100,2100800,83.75,86000,1376000,154700,NA,40.78,51.01,70.96,204800,45.58,13.38,459900,301900,116.14,"DE","  147.6","High income","National",2010,201010,20,20101010,336412,336412
"2914",2914,"GERMANY",2014,"DE0005470405",587,1845000,2932000,NA,4777000,"E",8006000,16584,6870000,3333000,320000,87.08,624000,9616000,426000,NA,68.2,67.34,64.57,674000,46.52,20.23,786000,328000,5.31,"DE","  147.6","High income","National",1510,151010,15,15101020,3252,3252
"2915",2915,"GERMANY",2014,"DE000A0S8488",1102,82000,53000,NA,135000,"E",1199601,5194,1724523,938016,77844,125.03,97515,1994224,124886,NA,49.23,56.64,30.04,233354,54.2,58.03,268313,152458,7.61,"DE","  147.6","High income","National",2030,203050,20,20305030,541614,541614
"2916",2916,"GERMANY",2014,"DE000BAY0017",1222,2950000,970000,NA,3920000,"E",42239000,118888,67253000,11428000,31821000,99.11,2157000,31319000,2936000,NA,94.65,78.51,38.29,5555000,49.64,52.25,8087000,5400000,6.28,"DE","  147.6","High income","National",3520,352020,35,35202010,325,325
"2917",2917,"GERMANY",2014,"DE000TUAG000",1354,6273840,543935,62206,6817770,"E",18714700,77309,13788100,2836600,4069700,106.97,597700,5044900,398600,NA,74.47,69.84,84.08,353100,50.4,11.75,1223000,837600,-8.76,"DE","  147.6","High income","National",2530,253010,25,25301020,561510,561510
"2918",2918,"GERMANY",2014,"DE0005408884",561,NA,NA,NA,192859.8,"E",4103434,67988,2595177,810073,230337,59.83,153606,1715058,123392,NA,73.08,50.16,20.36,180858,37.39,17,305414,181265,10.11,"DE","  147.6","High income","National",2510,251010,25,25101010,335929,335929
"2919",2919,"GERMANY",2014,"DE0005810055",672,NA,NA,7111,6089,"E",2403700,4540,215767800,100900,3526500,52.33,28600,NA,39800,NA,64.4,74.39,73.79,677300,32.36,79.8,1014600,889800,5.37,"DE","  147.6","High income","National",NA,NA,NA,NA,NA,NA
"2920",2920,"GERMANY",2014,"DE0008232125",994,NA,NA,NA,27801092,"E",30011000,118781,28985000,15681000,1587000,155.14,2483000,31337000,1516000,NA,79.34,80.54,26.34,1990000,60.43,38.41,1876000,376000,-11.01,"DE","  147.6","High income","National",2030,203020,20,20302010,481111,481111
"2921",2921,"GERMANY",2014,"DE000A1PHFF7",1170,10621,12079,34164,22700,"E",2571616,12990,1561418,383349,147998,19.99,160243,953392,122760,NA,81.41,69.83,54.64,395427,16.67,65.99,554689,447210,5.64,"DE","  147.6","High income","National",2520,252030,25,25203010,315,315
"2922",2922,"GERMANY",2014,"DE000ENAG999",1254,97900000,3900000,128700000,101800000,"E",111556000,58503,119518000,41273000,16694000,80,4574000,96758000,8667000,NA,77.98,83.97,81.69,6478000,42.4,4.26,694000,-2886000,15.98,"DE","  147.6","High income","National",5510,551030,55,55103010,2211,2211
"2923",2923,"GERMANY",2014,"DE000LED4000",1301,233891,386271,NA,620162,"E",5142100,33800,4284500,1137100,143300,7.65,2e+05,4762700,245800,NA,67.2,44.88,69.23,445700,7.04,31.37,741500,469400,3.96,"DE","  147.6","High income","National",2010,201040,20,20104010,3351,3351
"2924",2924,"GERMANY",2014,"DE0008430026",1034,58516.78,80220.35,30671.9,138737.13,"E",63367000,43316,252246000,6430000,4283000,21.4,NA,NA,NA,NA,79.61,94.26,62.05,7527000,14.5,NA,3869000,3552000,NA,"DE","  147.6","High income","National",NA,NA,NA,NA,NA,NA
"2925",2925,"GERMANY",2014,"DE0005552004",608,5220000,440000,23360000,5660000,"E",56630000,488824,35227000,7177000,12352000,55.13,1389000,16265000,1381000,NA,84.41,82.15,75.68,2898000,35.05,41.42,3400000,2129000,117.49,"DE","  147.6","High income","National",2030,203010,20,20301010,492110,492110
"2926",2926,"GERMANY",2014,"DE0007664005",963,3990000,5050000,329943981,9040000,"E",202458000,592586,345331000,73754000,59935000,163.65,11385000,154475000,13785000,NA,84.67,91.66,72.54,10785000,62.02,18.23,28214000,8763000,511.26,"DE","  147.6","High income","National",NA,NA,NA,NA,NA,NA
"2927",2927,"GERMANY",2014,"DE0007235301",888,219000,613000,NA,832000,"E",1335600,6342,2100900,879600,45300,127.78,95500,2325800,81400,NA,31.89,40.93,64.04,-1900,55.37,16.55,54800,-34700,2.27,"DE","  147.6","High income","National",2010,201040,20,20104010,335991,335991
"2928",2928,"GERMANY",2014,"DE000BASF111",1209,18450000,3911000,NA,22361000,"E",74326000,113292,69166000,23496000,12967000,56.04,4660000,64414000,2770000,NA,91.89,90.03,80.36,6955000,35.43,24.38,9828000,6373000,6.45,"DE","  147.6","High income","National",1510,151010,15,15101020,325,325
"2929",2929,"GERMANY",2014,"DE0007164600",870,155000,163000,365000,318000,"E",17560000,74406,38152000,2102000,25553000,56.83,566000,NA,395000,NA,96.06,76.74,85.42,3499000,36.13,69.98,5772000,4762000,40.28,"DE","  147.6","High income","National",4510,451030,45,45103010,511210,511210
"2930",2930,"GERMANY",2014,"DE0005190003",513,494931,966067,65452266,1460998,"E",80401000,116324,152742000,47347000,6499000,208.24,6669000,84060000,4323000,NA,83.83,93.18,80.69,2781000,67.43,24.96,16441000,8870000,-35.99,"DE","  147.6","High income","National",2510,251020,25,25102010,336111,336111
"2931",2931,"GERMANY",2014,"DE000A0H52F5",1060,3797574,9436,7997152,3807010,"E",3793147,4804,4117786,2588151,257130,124.92,359260,5633494,164839,NA,25.35,31.08,40.23,353804,51.39,15.37,255606,90767,-149.68,"DE","  147.6","High income","National",5510,551030,55,55103010,22111,22111
"2932",2932,"GERMANY",2014,"DE0005439004",574,662000,1974000,NA,2636000,"E",34505700,189168,28667700,8446400,6212400,60.06,1980700,20730300,1789000,-20500,84.59,73.77,81.59,4168300,36.76,25.11,5180900,3571600,10.64,"DE","  147.6","High income","National",2510,251010,25,25101010,3363,3363
"2933",2933,"GERMANY",2014,"DE000WCH8881",1379,1251000,1420000,NA,2671000,"E",4826400,16703,6612900,4311300,32900,63.68,567100,11832500,599000,NA,57.76,70.29,12.53,485200,38.61,17.61,791000,201500,5.2,"DE","  147.6","High income","National",1510,151010,15,15101050,325211,325211
"2934",2934,"GERMANY",2014,"DE0006047004",694,47600000,7400000,NA,5.5e+07,"E",12614300,44909,27444200,9493200,9864500,61.99,915000,18959100,752500,NA,75.05,83.97,70.12,1479800,36.4,52.55,1862100,1169200,-16.09,"DE","  147.6","High income","National",1510,151020,15,15102010,327310,3273
"2935",2935,"GERMANY",2014,"DE0007500001",949,32200000,1700000,5300000,33700000,"E",41304000,160745,34270000,8308000,4308000,284.07,1026000,30574000,1147000,-217000,65.64,83.48,52.24,887000,72.58,15.05,1988000,879000,17.41,"DE","  147.6","High income","National",1510,151040,15,15104050,999977,331
"2936",2936,"GERMANY",2014,"DE0006048408",707,337000,288000,808000,626000,"E",16428000,49750,20123000,2461000,10590000,15.15,436000,6245000,381000,NA,93.52,72.26,61.57,1913000,13.03,47.47,2752000,2364000,13.51,"DE","  147.6","High income","National",NA,NA,NA,NA,NA,NA
"2937",2937,"GERMANY",2014,"DE0006602006",786,33827,39810,73340,73637,"E",4515689,18243,5362725,498758,1655529,22.37,120508,1286032,57137,-40462,16.51,34.76,52.54,400253,18.28,32.09,474105,374032,3.29,"DE","  147.6","High income","National",2010,201060,20,20106020,3332,541330
"2938",2938,"GERMANY",2014,"DE000A0HN5C6",1069,42713.6,508.1,7917.9,43221.7,"E",951923,2349,11094538,9636939,546074,117.66,771820,9652139,3700,NA,61.35,64.21,19.47,189409,53.1,92.64,407060,400968,NA,"DE","  147.6","High income","National",NA,NA,NA,NA,NA,NA
"2939",2939,"GERMANY",2014,"DE000SYM9999",1339,102280,102280,884000,205130,"E",2120107,8160,3918542,639683,2034325,95.94,57999,1301137,56323,NA,74.55,57.22,55.09,280140,48.65,42.08,431941,303730,3.33,"DE","  147.6","High income","National",1510,151010,15,15101050,325620,325620
"2940",2940,"GERMANY",2014,"DE0005200000",529,35495.46,60705.13,88368.75,96200.59,"E",6285000,17398,6135000,964000,119000,3.11,227000,2318000,97000,NA,47.39,54.13,72.42,445000,3.01,61.18,898000,719000,3.03,"DE","  147.6","High income","National",3030,303020,30,30302010,325620,325620
"2941",2941,"GERMANY",2014,"DE0005773303",649,38000,223800,1468750,261800,"E",2394600,23116,8982100,6127700,678000,130.15,362300,10165400,307300,NA,94.85,78.85,69.63,538000,56.06,85.17,771600,464600,21.23,"DE","  147.6","High income","National",2030,203050,20,20305010,488119,488119
"2942",2942,"GERMANY",2014,"DE000A1YCMM2",1188,11708.9,113859.8,696301.2,125568.8,"E",573382,2730,913774,344735,13800,188.5,24221,1471016,45440,NA,89.43,60.3,62.5,-65340,65.34,25.62,-88959,-130257,1.76,"DE","  147.6","High income","National",4530,453010,45,45301020,334413,334413
"2943",2943,"GERMANY",2014,"DE0007042301",842,35803,35151,NA,70954,"E",1510519,15602,1804311,663205,132336,12.97,165300,1216405,82300,NA,32.31,32.9,27.02,55600,11.31,66.38,-106196,-172596,2.6,"DE","  147.6","High income","National",3510,351020,35,35102020,622110,622110
"2944",2944,"GERMANY",2014,"DE0005557508",621,341509,3271761,4031126,3912000,"E",62658000,227811,124191000,39616000,51565000,205.17,6570000,139023000,6711000,NA,69.22,83.49,62.28,13425000,60.51,38.49,14912000,4338000,39.16,"DE","  147.6","High income","National",5010,501010,50,50101020,517311,517110
"2945",2945,"GERMANY",2014,"DE000A0WMPJ6",1109,NA,NA,NA,4219,"E",193797,789,529427,77299,67271,0,9603,179357,15591,NA,31.17,18.56,52.02,-33780,0,20.69,-43901,-60901,0.72,"DE","  147.6","High income","National",4530,453010,45,45301010,333242,333295
"2946",2946,"GERMANY",2015,"DE000CBK1001",1240,40081,128639,81277,168720,"E",16359000,51305,529805000,1437000,3525000,463.63,735000,NA,199000,NA,68.35,88.6,46.17,-1873000,81.76,NA,2353000,1855000,NA,"DE","  152.5","High income","National",NA,NA,NA,NA,NA,NA
"2947",2947,"GERMANY",2015,"DE0005140008",496,50305,121116,73171,171421,"E",47239000,101104,1621368000,2846000,10078000,403.99,669000,NA,439000,NA,86.71,95.21,60.75,19170000,80.09,NA,6602000,5453000,NA,"DE","  152.5","High income","National",NA,NA,NA,NA,NA,NA
"2948",2948,"GERMANY",2015,"DE000A0S8488",1103,74000,119000,NA,193000,"E",1141818,5345,1688968,947063,73851,126.78,89195,2080000,124238,NA,44.59,53.63,38.85,195341,54.56,59.15,244685,132093,4.5,"DE","  152.5","High income","National",2030,203050,20,20305030,541614,541614
"2949",2949,"GERMANY",2015,"DE000KC01000",1281,5586,1301,NA,6887,"E",6443628,9592,2830469,680491,223624,49.35,70976,1623644,374117,NA,50.5,32.79,60.18,275930,32.87,17.56,27234,-69170,6.61,"DE","  152.5","High income","National",2010,201070,20,20107010,423510,423510
"2950",2950,"GERMANY",2015,"DE0007165607",876,11405,19475,NA,30880,"E",1114752,6185,1418361,317444,614633,76.64,86144,556794,29121,NA,78.86,56.56,31.49,114045,38.1,49.5,256542,197690,5.4,"DE","  152.5","High income","National",NA,NA,NA,NA,NA,NA
"2951",2951,"GERMANY",2015,"DE0008404005",1022,60784,170137,170749,230921,"E",107823000,142459,830441000,8811000,13444000,61.25,1692000,NA,NA,NA,85.89,97.48,89.91,21358000,32.71,NA,13422000,12188000,NA,"DE","  152.5","High income","National",NA,NA,NA,NA,NA,NA
"2952",2952,"GERMANY",2015,"DE000PSM7770",1316,2933,11384,9787,14317,"E",3260700,5584,5303900,226300,3361800,309.68,99200,519300,151100,NA,61.53,24.54,54.88,1518800,75.16,36.34,851100,718100,7.6,"DE","  152.5","High income","National",5020,502010,50,50201020,515210,515210
"2953",2953,"GERMANY",2015,"DE000A0H52F5",1061,3881000,8000,6311000,3889000,"E",3421527,5308,4563680,2531407,226885,139.31,296707,5612681,161239,NA,31.96,39.19,42.56,189564,54.08,17.41,248097,87850,277.59,"DE","  152.5","High income","National",5510,551030,55,55103010,22111,22111
"2954",2954,"GERMANY",2015,"DE0006766504",796,518376,1197340,1761040,1715720,"E",10995202,6321,4036505,1287082,83898,25.75,101691,2844249,140522,NA,60.76,79.37,35.63,349386,20.45,3.47,275938,139532,7.44,"DE","  152.5","High income","National",1510,151040,15,15104025,331410,331411
"2955",2955,"GERMANY",2015,"DE000A1J5RX9",1155,9541,388257,5342,397798,"E",7888000,9464,16149000,4507000,9014000,21.84,689000,9251000,977000,NA,43.12,53.2,23.06,1836000,17.92,41.27,1758000,-309000,-6.04,"DE","  152.5","High income","National",5010,501010,50,50101020,517919,517910
"2956",2956,"GERMANY",2015,"DE0006062144",714,2120000,3690000,NA,5810000,"E",12082000,15761,9891000,4934000,393000,79.25,612000,15506000,739000,NA,47.18,58.46,49.76,1386000,44.1,22.44,1491000,819000,-36.95,"DE","  152.5","High income","National",1510,151010,15,15101050,325211,325211
"2957",2957,"GERMANY",2015,"DE0006599905",781,393000,333000,349000,726000,"E",12844700,49613,36928500,4009100,25339000,109.19,480900,8847200,1510900,NA,96.46,89.5,44.41,2195200,51.28,62.18,3244900,1861500,-6.32,"DE","  152.5","High income","National",3520,352020,35,35202010,325412,325412
"2958",2958,"GERMANY",2015,"DE0005439004",575,715000,2073000,NA,2788000,"E",39232000,207899,31166000,9538900,7977000,40.92,2045400,23034700,1885800,57200,81.32,73.02,90.1,4915600,28.36,25.94,6093400,4301900,36.72,"DE","  152.5","High income","National",2510,251010,25,25101010,3363,3363
"2959",2959,"GERMANY",2015,"DE000A1PHFF7",1171,10785,12120,30655,22905,"E",2808746,13764,1685179,439788,182602,18.16,104459,1096477,142099,NA,82.72,68.62,63.94,423584,15.38,65.88,572085,447712,6.27,"DE","  152.5","High income","National",2520,252030,25,25203010,315,315
"2960",2960,"GERMANY",2015,"DE0007030009",817,256279,466825,9573,723104,"E",5183000,20676,5486000,1314000,827000,55.09,284000,3783000,203000,NA,51.51,42.16,44.13,339000,34.48,42.45,352000,150000,5,"DE","  152.5","High income","National",2010,201010,20,20101010,336992,336992
"2961",2961,"GERMANY",2015,"DE0006048408",708,353000,295000,722000,647000,"E",18089000,49450,21507000,2661000,11682000,6.47,531000,6708000,444000,NA,92.93,73.66,59.63,2359000,6.02,48.31,3180000,2730000,31.79,"DE","  152.5","High income","National",NA,NA,NA,NA,NA,NA
"2962",2962,"GERMANY",2015,"DE000KSAG888",1294,NA,NA,NA,2e+06,"E",4175500,14383,8174700,5054800,1068300,35.95,1010000,7896300,275900,NA,43.68,35.7,32.29,669400,26.44,45.66,1055800,739200,4.29,"DE","  152.5","High income","National",1510,151010,15,15101030,3253,3253
"2963",2963,"GERMANY",2015,"DE000A1EWWW0",1143,NA,NA,NA,59132,"E",16915000,55555,12706000,1638000,3208000,32.44,499000,3221000,393000,NA,97.98,90.2,87.47,1110000,24.55,46.19,1271000,932000,7.93,"DE","  152.5","High income","National",2520,252030,25,25203010,316210,316211
"2964",2964,"GERMANY",2015,"DE0007856023",981,23020,64100,4200,87120,"E",1507253,7912,1751685,827259,213542,65.2,147017,1627449,69940,NA,60.88,51.44,44.61,123330,38.5,24.83,201978,114464,5.64,"DE","  152.5","High income","National",2510,251010,25,25101010,339991,339991
"2965",2965,"GERMANY",2015,"DE0005810055",673,NA,NA,7304,6693,"E",2797000,5283,179927500,109700,4633000,95.2,30600,NA,37200,NA,62.92,77.19,77.16,10100,47.81,79.66,1206200,1066700,-26.29,"DE","  152.5","High income","National",NA,NA,NA,NA,NA,NA
"2966",2966,"GERMANY",2015,"DE000TUAG000",1355,6382240,438634,68403,6820870,"E",20011600,76036,13755800,3629600,4131900,98.59,560600,6020300,700500,NA,70.57,78.23,76.9,698800,43.83,11.72,1382800,940000,-6.2,"DE","  152.5","High income","National",2530,253010,25,25301020,561510,561510
"2967",2967,"GERMANY",2015,"DE0007314007",931,NA,NA,NA,97656,"E",2333681,12378,2231202,487404,210457,295.57,58737,1929793,72978,NA,31.43,52.92,12.17,21711,74.72,50.32,235075,165941,3.64,"DE","  152.5","High income","National",2010,201060,20,20106020,333244,333293
"2968",2968,"GERMANY",2017,"DE0008303504",1001,1223.7,NA,NA,NA,"E",293061,961,4589106,4190000,1825,154.61,159119,4199111,2563,NA,57.24,40.78,40.62,124473,60.42,86.59,104047,100198,NA,"DE","  170.5","High income","National",NA,NA,NA,NA,NA,NA
"2969",2969,"GERMANY",2017,"DE000KGX8881",1283,115749,103635,33552,219384,"E",7653600,31608,10857900,1850600,5716400,125.34,166700,3864700,636400,NA,72.48,42.94,54.9,567200,55.59,25.54,1358400,737000,-20.79,"DE","  170.5","High income","National",2010,201060,20,20106010,333924,3331
"2970",2970,"GERMANY",2017,"DE000A0Z2ZZ5",1114,8170.1,60267.2,NA,68437.4,"E",3507263,4133,4160615,435818,1943426,116.86,62792,644144,148234,NA,6.59,7.67,41.93,343284,53.35,23.39,354168,206145,25.87,"DE","  170.5","High income","National",5010,501020,50,50102010,517312,517210
"2971",2971,"GERMANY",2017,"DE0007500001",952,22100000,1300000,4e+06,23400000,"E",41447000,158739,33368000,7605000,4813000,251.16,1272000,27010000,1109000,-143000,71.93,77.87,54.53,610000,68.07,16.79,3187000,2067000,12.02,"DE","  170.5","High income","National",1510,151040,15,15104050,999977,331
"2972",2972,"GERMANY",2017,"DE0006602006",789,41833,36925,15958,78758,"E",4604514,17863,5336112,501448,2265652,10.06,91007,1428701,117766,-41294,69.29,56.36,64.13,255004,9.14,31.13,428718,312597,10.78,"DE","  170.5","High income","National",2010,201060,20,20106020,3332,541330
"2973",2973,"GERMANY",2017,"DE0005878003",679,18164,20266,NA,38430,"E",2348451,7101,2191367,440005,190681,4.23,74277,811968,52716,NA,50.4,24.07,16.03,171720,4.05,19.81,204074,131241,4.15,"DE","  170.5","High income","National",2010,201060,20,20106020,3335,3335
"2974",2974,"GERMANY",2017,"DE0005408884",564,24594,166197,NA,190791,"E",4922807,86340,3075413,1052337,211168,58.24,211988,2157155,129087,NA,72.2,60.85,32.88,229333,36.62,16.5,323893,174369,27.58,"DE","  170.5","High income","National",2510,251010,25,25101010,335929,335929
"2975",2975,"GERMANY",2017,"DE0007042301",845,37080,20216,NA,57296,"E",1211077,16688,1462264,747050,134682,0.35,113500,1423550,58800,NA,41.07,30.16,17.23,80900,0.35,66.42,-53313,-112433,6.67,"DE","  170.5","High income","National",3510,351020,35,35102020,622110,622110
"2976",2976,"GERMANY",2017,"DE0005785802",660,326000,530000,NA,856000,"E",17783572,114000,23709960,3491771,12786979,76.97,930520,7655397,622706,NA,70.95,62.61,84.48,2191811,41.11,33.76,3062678,2327199,16.55,"DE","  170.5","High income","National",3510,351020,35,35102015,621492,621492
"2977",2977,"GERMANY",2017,"DE000A1DAHH0",1132,154096,65416,NA,219512,"E",11743300,15172,7233800,946400,2746700,68.07,138800,1775500,163100,NA,61.27,42.1,70.76,403900,40.4,21.22,755300,593800,10.52,"DE","  170.5","High income","National",2010,201070,20,20107010,4246,4246
"2978",2978,"GERMANY",2017,"DE000CLS1001",1247,45425,61.4,NA,45486.4,"E",20643700,26329,6824800,486300,1127400,70.18,156400,1629900,1093300,NA,47.04,36.97,23.11,356600,40.99,9.82,308800,211100,18.8,"DE","  170.5","High income","National",3510,351020,35,35102010,424210,424210
"2979",2979,"GERMANY",2017,"DE0007667107",970,21912.6,37193.7,NA,59106.3,"E",918300,3685,1229200,212500,280400,58.54,38100,484300,63200,NA,46.19,36.63,47.88,12600,36.26,21.79,97300,58600,4.64,"DE","  170.5","High income","National",2010,201060,20,20106010,336510,332999
"2980",2980,"GERMANY",2017,"DE0006969603",813,7678,40029,208525,47707,"E",4135900,11787,2645900,260100,412900,3.71,84300,549500,56100,NA,87.23,84.27,47.56,229100,3.51,45.55,298800,228400,4.99,"DE","  170.5","High income","National",2520,252030,25,25203020,316210,316211
"2981",2981,"GERMANY",2017,"DE0006766504",798,529239,1105460,1901180,1634690,"E",11040100,6494,4355272,1269836,131618,14.87,188562,2977399,133021,NA,64.8,85.46,54.74,474681,12.93,6.11,550465,415255,6.51,"DE","  170.5","High income","National",1510,151040,15,15104025,331410,331411
"2982",2982,"GERMANY",2017,"DE000ZAL1111",1388,4846,33276,2607887,38122,"E",4489000,15091,2978900,350500,182300,0.73,122100,436700,31800,NA,77.54,91.5,69.4,193700,0.72,43.65,234500,175800,4.31,"DE","  170.5","High income","National",2550,255020,25,25502020,454110,454111
"2983",2983,"GERMANY",2017,"DE000TUAG000",1357,7112770,438577,73254,7551340,"E",18535000,66577,13861800,4253700,3437600,65.76,538800,6614600,517800,NA,76.54,90.95,84.33,1508300,35.36,10.68,1295600,892600,-8.36,"DE","  170.5","High income","National",2530,253010,25,25301020,561510,561510
"2984",2984,"GERMANY",2017,"DE000A0HN5C6",1072,149260.06,204301,NA,353561.06,"E",1173500,3109,20539000,19720700,19000,73.96,1392992,19755700,7400,NA,77.78,59.69,78.18,518300,41.73,81.36,775800,758900,NA,"DE","  170.5","High income","National",NA,NA,NA,NA,NA,NA
"2985",2985,"GERMANY",2017,"DE000A1J5RX9",1157,16220,397303,6889,413523,"E",7296000,9281,13938000,4041000,7445000,22.96,1030000,9938000,1869000,NA,55.25,66.52,50.96,1702000,18.67,43.28,1836000,-34000,-4.86,"DE","  170.5","High income","National",5010,501010,50,50101020,517919,517910
"2986",2986,"GERMANY",2017,"DE000A1ML7J1",1163,21150,29465,4129,50615,"E",2462000,8448,37506000,33360400,2637100,100.03,1008500,33407800,372200,NA,71.54,70.97,32.44,646000,48.98,69.44,841000,806800,NA,"DE","  170.5","High income","National",NA,NA,NA,NA,NA,NA
"2987",2987,"GERMANY",2017,"DE000UNSE018",1362,63300000,342441,NA,63642400,"E",72238000,12575,42271000,11496000,2709000,15.83,713000,37127000,1198000,NA,54.17,71.45,74.65,1306000,13.07,2.35,338000,-291000,44.45,"DE","  170.5","High income","National",5510,551050,55,55105010,221111,221111
"2988",2988,"GERMANY",2017,"DE0005408116",552,3386,5782,1885,9168,"E",989000,2800,41809000,253000,153000,511.23,34000,NA,16000,NA,78.03,35.14,77.39,-1480000,83.63,NA,320000,293000,NA,"DE","  170.5","High income","National",NA,NA,NA,NA,NA,NA
"2989",2989,"GERMANY",2017,"DE0005773303",652,40100,169500,NA,209600,"E",2934800,24598,10791400,5921500,2772800,117.14,266900,10544900,360200,NA,97.78,86.33,56.25,763800,52.93,84.8,982400,632000,-14.18,"DE","  170.5","High income","National",2030,203050,20,20305010,488119,488119
"2990",2990,"GERMANY",2017,"DE0008430026",1037,47880,79426,25563,127306,"E",61590000,42410,253296000,7642000,3689000,15.81,NA,NA,NA,NA,84.39,92.83,79.39,1833000,11.51,NA,1094000,607000,NA,"DE","  170.5","High income","National",NA,NA,NA,NA,NA,NA
"2991",2991,"GERMANY",2017,"DE000A12DM80",1121,1729.41,2057.11,1924.95,3786.52,"E",479755,1244,2138151,8161,2010157,57.74,2352,27102,4516,NA,47.79,31.7,36.21,152444,36.6,91.3,231719,174889,-10.92,"DE","  170.5","High income","National",5020,502030,50,50203010,519130,519130
"2992",2992,"GERMANY",2017,"DE000SYM9999",1342,204369,116066,2383146,320435,"E",2996294,9247,4568451,901620,1965890,94.96,152920,1732197,198718,NA,84.62,53.07,74.41,357816,47.9,40.87,598454,399878,2.82,"DE","  170.5","High income","National",1510,151010,15,15101050,325620,325620
"2993",2993,"GERMANY",2017,"DE000HLAG475",1271,12248500,NA,NA,NA,"E",9973400,12567,14803100,8966500,3272300,104.79,353700,11336100,643600,NA,93.36,42.67,45.25,615500,51.12,13.45,879900,237800,-17.45,"DE","  170.5","High income","National",2030,203030,20,20303010,483111,483111
"2994",2994,"GERMANY",2017,"DE0005557508",624,284000,3114000,16307000,3398000,"E",74947000,217349,137321000,46878000,62865000,179.85,8037000,153468000,14586000,NA,86.37,82.34,53.69,17199000,56.55,35.58,20357000,7927000,-10.75,"DE","  170.5","High income","National",5010,501010,50,50101020,517311,517110
"2995",2995,"GERMANY",2017,"DE0007236101",904,874000,730000,16575000,1604000,"E",83049000,372000,131507000,10977000,38832000,74.78,2159000,27017000,1930000,NA,79.16,85.17,83.26,6176000,41.99,30.14,11030000,7819000,5.52,"DE","  170.5","High income","National",2010,201050,20,20105010,999977,999977
"2996",2996,"GERMANY",2017,"DE0007165607",878,12429,23338,NA,35767,"E",1404569,7501,2281478,507992,1081275,154.58,148764,787185,98360,NA,90.02,58.09,48.05,189689,54.21,50.32,348303,249941,5.05,"DE","  170.5","High income","National",NA,NA,NA,NA,NA,NA
"2997",2997,"GERMANY",2017,"DE0007314007",933,NA,NA,NA,86020,"E",2524101,11834,2119791,476710,239418,138.23,92208,1872808,74967,NA,37.63,53.67,39.16,139238,58.02,52.54,238241,167381,4.98,"DE","  170.5","High income","National",2010,201060,20,20106020,333244,333293
"2998",2998,"GERMANY",2017,"DE0007037129",832,135600000,1e+06,8.4e+07,136600000,"E",42434000,59547,66432000,24904000,12352000,227.06,2308000,85876000,2583000,NA,74.77,84.8,44.93,-1779000,56.14,22.07,3298000,1232000,13.82,"DE","  170.5","High income","National",5510,551030,55,55103010,2211,2211
"2999",2999,"GERMANY",2017,"DE0005200000",532,96180,81382,133559,177562,"E",7056000,18934,8e+06,1026000,140000,1.27,162000,2473000,133000,NA,65.26,69.7,45.8,943000,1.25,58.76,1134000,984000,3.43,"DE","  170.5","High income","National",3030,303020,30,30302010,325620,325620
"3000",3000,"GERMANY",2017,"DE000A1PHFF7",1173,12001,47458,32562,59459,"E",2732573,13985,1625627,365661,182940,14.05,121477,1165252,158824,NA,86.78,85.66,86.27,418467,12.32,66.1,467315,333691,6.06,"DE","  170.5","High income","National",2520,252030,25,25203010,315,315
"3001",3001,"GERMANY",2017,"DE0006047004",697,73800000,4700000,NA,78500000,"E",17266100,59054,34040100,12813800,11471200,73.64,1012200,23661300,1179700,NA,74.91,83.81,80.32,2037900,40.04,54.58,2421200,1312200,55.68,"DE","  170.5","High income","National",1510,151020,15,15102010,327310,3273
"3002",3002,"GERMANY",2017,"DE0006569908",770,480.37,1547.62,2601.61,2027.99,"E",622212,1686,2161512,61861,161838,370.72,18351,NA,5381,NA,45.79,19,48.04,127552,78.76,47.83,43018,27725,NA,"DE","  170.5","High income","National",NA,NA,NA,NA,NA,NA
"3003",3003,"GERMANY",2017,"DE0005089031",479,2827.8,32633,1915.9,35460.8,"E",4206302,9414,7450661,747423,4973119,51.38,168861,1460472,163484,1232,29.33,38.89,21.69,725999,33.61,33.51,922200,627109,-9.13,"DE","  170.5","High income","National",5010,501010,50,50101020,517919,517919
"3004",3004,"GERMANY",2017,"DE0005785604",656,606000,936000,NA,1542000,"E",33886000,273249,52389000,9555000,28457000,140.25,1641000,17172000,1139000,NA,77.17,49.06,52.47,3937000,46.87,30.87,5833000,4396000,17.48,"DE","  170.5","High income","National",3510,351020,35,35102015,6214,334510
"3005",3005,"GERMANY",2017,"DE000LEG1110",1309,58625,NA,NA,58625,"E",792600,1138,10004300,9524100,85400,105.19,637000,9586500,9000,NA,61.88,29.13,78.3,269600,51.11,50.34,219400,210200,NA,"DE","  170.5","High income","National",NA,NA,NA,NA,NA,NA
"3006",3006,"GERMANY",2017,"DE000BFB0019",1229,705377,1108950,3157223,1814327,"E",37140000,150383,15340000,6822000,1348000,148.85,592000,14344000,758000,NA,57.28,38.8,75.46,875000,59.47,17.07,809000,123000,-20.38,"DE","  170.5","High income","National",3010,301010,30,30101020,4244,4244
