Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AHLERS AG - EMPLOYEES,DE0005009740(WC07011),E,2864,2172,2154,2237,2244,2201,NA,2042,2060,2020,2145,1929,1724
AIB GROUP PLC - NET SALES OR REVENUES,IE00BF0L3536(WC01001),E,11571000,8457000,5094000,4596000,3301000,3744000,3813000,3476000,3503000,3344000,3166000,2975000,2795000
AIB GROUP PLC - EMPLOYEES,IE00BF0L3536(WC07011),E,25919,23275,23208,14501,13429,12648,11047,10204,10376,9720,9831,9520,9193
AIR FRANCE - KLM - NET SALES OR REVENUES,FR0000031122(WC01001),E,24114000,23970000,20994000,25382603,25633000,25530000,24930000,26062000,24846000,25784000,26515000,27189000,11088000
AIR FRANCE - KLM - EMPLOYEES,FR0000031122(WC07011),E,104659,106933,104721,102277,100744,102014,100744,96417,84602,83522,84714,86138,82167
AIRBUS SE - NET SALES OR REVENUES,NL0000235190(WC01001),E,43265000,42822000,45752000,49128000,56480000,59256000,60713000,64450000,66581000,66767000,63707000,70478000,49912000
AIRBUS SE - EMPLOYEES,NL0000235190(WC07011),E,118349,119506,121691,133115,140405,144061,138622,136574,133782,129442,133671,134931,131349
AIXTRON SE - NET SALES OR REVENUES,DE000A0WMPJ6(WC01001),E,274404,302857,783775,610960,227832,182863,193797,197756,196477,230382,268811,259627,269247
AIXTRON SE - EMPLOYEES,DE000A0WMPJ6(WC07011),E,631,655,784,978,964,776,789,748,705,581,628,688,728
AKASTOR ASA - NET SALES OR REVENUES,NO0010215684(WC01001),NK,58252000,54077000,46267000,35667000,44922000,42874000,21262000,15509000,5140000,4296000,3717000,5359000,4580000
AKASTOR ASA - EMPLOYEES,NO0010215684(WC07011),NK,23360,22133,19444,18397,20861,27299,7609,5677,2702,2015,1775,2272,1947
AKER ASA - NET SALES OR REVENUES,NO0010234552(WC01001),NK,6395000,6262000,7527000,4883000,5952000,8086000,70782000,73405000,43673000,41610000,42163000,48756000,6810000
AKER ASA - EMPLOYEES,NO0010234552(WC07011),NK,3221,3077,2704,2581,NA,27392,28998,26026,20753,19444,19979,21865,19867
AKER BIOMARINE ASA - NET SALES OR REVENUES,NO0010886625(WC01001),NK,NA,NA,NA,NA,NA,NA,NA,836957,964966,1022088,1259863,2168516,2703146
AKER BIOMARINE ASA - EMPLOYEES,NO0010886625(WC07011),NK,NA,NA,NA,NA,NA,NA,NA,NA,282,341,364,496,549
AKER BP ASA - NET SALES OR REVENUES,NO0010345853(WC01001),NK,326756,255135,362115,361774,332444,943881,2945061,9910794,11427732,21099320,30642851,29765414,27404156
AKER BP ASA - EMPLOYEES,NO0010345853(WC07011),NK,127,176,193,172,214,230,507,534,1371,1371,1649,1742,1748
AKER CARBON - NET SALES OR REVENUES,NO0010890304(WC01001),NK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15801
AKER CARBON - EMPLOYEES,NO0010890304(WC07011),NK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
AKER SOLUTIONS ASA - NET SALES OR REVENUES,NO0010716582(WC01001),NK,NA,NA,NA,22083000,28373000,29125000,32971000,31896000,25557000,22461000,25232000,29263000,29396000
AKER SOLUTIONS ASA - EMPLOYEES,NO0010716582(WC07011),NK,NA,NA,NA,16349,19302,19851,20974,17673,14385,13796,14705,12661,14494
AKKA TECHNOLOGIE - NET SALES OR REVENUES,FR0004180537(WC01001),E,381551,332688,400273,474115,827286,878825,885611,1001687,1122671,1334388,1505326,1801486,1503454
AKKA TECHNOLOGIE - EMPLOYEES,FR0004180537(WC07011),E,5205,5110,5603,7111,10645,10785,10605,12222,13252,15515,21019,20930,21080
AKTIA BANK ABP - NET SALES OR REVENUES,FI4000058870(WC01001),E,446341,380678,363119,390271,346558,301669,387261,257000,234913,222740,220283,236578,212715
AKTIA BANK ABP - EMPLOYEES,FI4000058870(WC07011),E,1052,1207,1186,1196,1005,967,932,920,903,804,779,776,830
AKVA GROUP ASA - NET SALES OR REVENUES,NO0003097503(WC01001),NK,866525,599345,742521,893552,831530,918670,1246059,1420712,1595385,2073241,2566760,3050514,3159453
AKVA GROUP ASA - EMPLOYEES,NO0003097503(WC07011),NK,528,428,548,706,653,571,722,670,791,956,1508,1437,1447
AKWEL SA - NET SALES OR REVENUES,FR0000053027(WC01001),E,419874,358246,410474,533921,669890,663797,692073,860356,963637,1024225,1062170,1101162,937178
AKWEL SA - EMPLOYEES,FR0000053027(WC07011),E,4202,4135,4122,8018,7514,7511,7658,8958,9824,10887,11769,11871,11191
AKZO NOBEL N.V. - NET SALES OR REVENUES,NL0013267909(WC01001),E,15415000,13893000,14640000,15697000,15390000,14590000,14296000,14859000,14197000,9612000,9256000,9276000,8530000
AKZO NOBEL N.V. - EMPLOYEES,NL0013267909(WC07011),E,60000,57100,55590,57240,50610,49561,47200,45600,46000,35700,34500,33800,32200
ALBIOMA SA - NET SALES OR REVENUES,FR0000060402(WC01001),E,323823,275604,330399,388398,381262,364280,354049,349615,367814,403223,428311,505676,506728
ALBIOMA SA - EMPLOYEES,FR0000060402(WC07011),E,48,276,300,276,325,359,413,461,448,483,506,579,606
ALD SA - NET SALES OR REVENUES,FR0013258662(WC01001),E,NA,NA,NA,NA,5798600,5945300,6316500,6831600,7565400,8266400,8972100,9777500,9934200
ALD SA - EMPLOYEES,FR0013258662(WC07011),E,NA,NA,NA,NA,4286,4581,4819,5118,5922,6306,6547,6708,6696
ALFA LAVAL AB - NET SALES OR REVENUES,SE0000695876(WC01001),SK,27850000,26039000,24720000,28652000,29813000,29934000,35067000,39746000,35634000,35314000,40666000,46517000,41468000
ALFA LAVAL AB - EMPLOYEES,SE0000695876(WC07011),SK,12119,11390,12618,16064,16419,16308,17753,17417,16941,16367,17228,17497,16882
ALFEN NV - NET SALES OR REVENUES,NL0012817175(WC01001),E,NA,NA,NA,NA,NA,NA,NA,50548,61522,73368,100180,143075,189010
ALFEN NV - EMPLOYEES,NL0012817175(WC07011),E,NA,NA,NA,NA,NA,NA,NA,152,195,234,410,497,588
ALIMAK GROUP - NET SALES OR REVENUES,SE0007158910(WC01001),SK,NA,NA,NA,NA,1498327,1517145,1742476,2036291,2048608,4000700,4320400,4587400,3740300
ALIMAK GROUP - EMPLOYEES,SE0007158910(WC07011),SK,NA,NA,NA,NA,830,893,1079,1091,1098,2397,2360,2314,2162
ALIOR BANK SA - NET SALES OR REVENUES,PLALIOR00045(WC01001),PZ,NA,351533,854034,1494482,2222549,2201010,2445551,3191046,3810944,4410736,5364685,5180864,4400054
ALIOR BANK SA - EMPLOYEES,PLALIOR00045(WC07011),PZ,NA,NA,NA,NA,4873,6512,6834,6361,10245,NA,8228,8143,7878
ALK-ABELLO A/S - NET SALES OR REVENUES,DK0060027142(WC01001),DK,1784000,1935000,2140000,2348000,2345000,2244000,2433000,2569000,3005000,2910000,2915000,3274000,3491000
ALK-ABELLO A/S - EMPLOYEES,DK0060027142(WC07011),DK,1489,1554,1694,1781,1855,1804,1809,1896,2123,2302,2379,2391,2447
SIXT LEASING SE - NET SALES OR REVENUES,DE000A0DPRE6(WC01001),E,NA,NA,NA,NA,556473,546124,575040,665378,713881,743951,805797,824432,747723
SIXT LEASING SE - EMPLOYEES,DE000A0DPRE6(WC07011),E,NA,NA,NA,NA,233,227,275,280,370,547,591,643,693
ALLEGRO.EU - NET SALES OR REVENUES,LU2237380790(WC01001),PZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,1662705,1978017,2592306,3997811
ALLEGRO.EU - EMPLOYEES,LU2237380790(WC07011),PZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,1629,1871,2172,3159
ALLIANZ SE - NET SALES OR REVENUES,DE0008404005(WC01001),E,87965000,88251000,93596000,94193000,100268000,101525000,99703000,107823000,107783000,111843000,105382000,113677000,122780000
ALLIANZ SE - EMPLOYEES,DE0008404005(WC07011),E,182865,153203,151338,141938,144094,147627,147425,142459,140253,140553,142460,147268,150269
ALLIGATOR BIOSCIE - NET SALES OR REVENUES,SE0000767188(WC01001),SK,NA,NA,NA,NA,NA,NA,0,289797,58240,56875,26959,4358,4352
ALLIGATOR BIOSCIE - EMPLOYEES,SE0000767188(WC07011),SK,NA,NA,NA,NA,NA,NA,26,27,36,47,55,55,43
ALM. BRAND A/S - NET SALES OR REVENUES,DK0015250344(WC01001),DK,7897000,7303000,7038000,6813000,6984000,7356000,7634000,7577000,7489000,7773000,8608000,8445000,7352000
ALM. BRAND A/S - EMPLOYEES,DK0015250344(WC07011),DK,1898,1859,1725,1572,1592,1585,1590,1557,1572,1602,1770,1796,1690
ALM EQUITY AB (PUBL) - NET SALES OR REVENUES,SE0000540163(WC01001),SK,157951,52764,147107,318499,417727,364496,895702,934427,1448199,3351391,2598494,1681000,1759000
ALM EQUITY AB (PUBL) - EMPLOYEES,SE0000540163(WC07011),SK,5,5,6,11,14,17,21,31,34,155,119,128,95
ALMIRALL SA - NET SALES OR REVENUES,ES0157097017(WC01001),E,902827,925486,882438,768418,682882,692891,786396,684985,764361,639381,756934,855339,807427
ALMIRALL SA - EMPLOYEES,ES0157097017(WC07011),E,3387,3233,3012,2792,2871,2969,2644,1889,1923,1833,1791,1767,1786
ALPHA SERVICES - NET SALES OR REVENUES,GRS015003007(WC01001),E,4980176,4539831,4024363,4269430,3484062,4272953,3844740,3480493,3302924,3179709,2705629,2545738,2500839
ALPHA SERVICES - EMPLOYEES,GRS015003007(WC07011),E,15619,15163,14896,14337,13650,16934,15193,14779,12699,11727,11314,10530,10528
ALSTOM SA - NET SALES OR REVENUES,FR0010220475(WC01001),E,16908000,18739000,19650000,20923000,19934000,20269000,20269000,6163000,6881000,7306000,7951000,8072000,8201000
ALSTOM SA - EMPLOYEES,FR0010220475(WC07011),E,67924,71511,68858,85225,85449,94545,94719,83736,30970,32779,34466,36270,37575
ALSTRIA OFFICE - NET SALES OR REVENUES,DE000A0LD2U1(WC01001),E,116485,104692,116346,108514,120276,105109,106348,127992,228127,213373,247240,241855,223770
ALSTRIA OFFICE - EMPLOYEES,DE000A0LD2U1(WC07011),E,NA,32,39,50,59,63,63,93,114,NA,149,165,167
ALTEN - NET SALES OR REVENUES,FR0000071946(WC01001),E,846284,857077,916566,1065659,1198009,1216188,1373166,1540906,1748306,1975427,2269885,2623990,2331925
ALTEN - EMPLOYEES,FR0000071946(WC07011),E,12394,12043,11746,14800,15950,16000,18400,20400,24000,28000,33700,37200,33800
ALTRI SGPS S.A. - NET SALES OR REVENUES,PTALT0AE0002(WC01001),E,255479,275650,497290,479345,530107,572429,551079,664033,609272,665510,784326,750044,615451
ALTRI SGPS S.A. - EMPLOYEES,PTALT0AE0002(WC07011),E,726,710,687,691,638,651,662,666,682,705,735,759,766
AMADEUS FIRE AG - NET SALES OR REVENUES,DE0005093108(WC01001),E,114591,110746,117548,130071,137003,142057,161057,169726,173295,184525,205836,233124,280154
AMADEUS FIRE AG - EMPLOYEES,DE0005093108(WC07011),E,2046,1989,2369,2433,2430,2427,2676,2708,2673,2739,2847,3123,3355
AMADEUS IT GROUP SA - NET SALES OR REVENUES,ES0109067019(WC01001),E,2937854,2461383,2593588,2707359,2910326,3103703,3417687,3912702,4472900,4852700,4935700,5570100,2174000
AMADEUS IT GROUP SA - EMPLOYEES,ES0109067019(WC07011),E,NA,7751,7778,8161,9163,10502,11951,12807,13881,14963,16920,17789,16550
AMBEA AB (PUBL) - NET SALES OR REVENUES,SE0009663826(WC01001),SK,NA,NA,NA,NA,NA,NA,4163000,4347000,5334000,5816000,6076000,11040000,11083000
AMBEA AB (PUBL) - EMPLOYEES,SE0009663826(WC07011),SK,NA,NA,NA,NA,NA,NA,7230,6885,7892,8445,7435,13214,13794
AMBU A/S - NET SALES OR REVENUES,DK0060946788(WC01001),DK,784445,876931,939688,982812,1045457,1383000,1584000,1889000,2084000,2355000,2606000,2820000,3567000
