"ISIN","year","cur_rat","stlt_lia","cogs"
"DE0007074007","2020",2.16,74478,463117
"DE0007164600","2008",0.99,2319000,3393000
"DE0007164600","2009",1.54,146000,3066000
"DE0007164600","2010",1.39,142000,3360000
"DE0007164600","2011",1.54,1331000,3631000
"DE0007164600","2012",1.05,802000,4201000
"DE0007164600","2013",1.16,586000,4048000
"DE0007164600","2014",1.05,2154000,4262000
"DE0007164600","2015",1.24,567000,5337000
"DE0007164600","2016",1.2,1430000,4908000
"DE0007164600","2017",1.17,1298000,5464000
"DE0007164600","2018",1.59,768000,5827000
"DE0007164600","2019",1.05,2920000,6166000
"DE0007164600","2020",1.17,1862000,5802000
"DE0007193500","2008",1.62,104500,1113800
"DE0007193500","2009",1.61,83600,801400
"DE0007193500","2010",1.63,84200,834600
"DE0007193500","2011",1.64,101200,859600
"DE0007193500","2012",1.77,36600,883200
"DE0007193500","2013",1.51,28800,783100
"DE0007193500","2014",1.46,24000,767700
"DE0007193500","2015",1.49,19800,721500
"DE0007193500","2016",1.6,34400,798100
"DE0007193500","2017",1.62,44600,830600
"DE0007193500","2018",1.53,75600,845500
"DE0007193500","2019",1.42,208200,872000
"DE0007193500","2020",1.55,53200,793200
"DE0007297004","2008",1.41,669000,4075700
"DE0007297004","2009",1.43,890900,4388900
"DE0007297004","2010",1.66,641100,4373000
"DE0007297004","2011",1.45,811900,4595400
"DE0007297004","2012",1.69,574000,5096300
"DE0007297004","2013",1.96,287300,5709300
"DE0007297004","2014",1.76,530800,5129500
"DE0007297004","2015",1.86,5e+05,4694300
"DE0007297004","2016",1.95,424600,4267100
"DE0007297004","2017",2.19,221100,4177800
"DE0007297004","2018",2.03,455900,4521900
"DE0007297004","2019",2.1,501400,4648900
"DE0007297004","2020",2.06,625100,4447600
"DE0007446007","2008",1.73,33802,649001
"DE0007446007","2009",1.59,28176,525551
"DE0007446007","2010",1.27,32802,566919
"DE0007446007","2011",1.42,30537,596988
"DE0007446007","2012",1.5,29233,544945
"DE0007446007","2013",1.7,25771,550303
"DE0007446007","2014",0.86,96247,576602
"DE0007446007","2015",1.3,73604,622979
"DE0007446007","2016",1.27,81795,658505
"DE0007446007","2017",1.71,36708,655555
"DE0007446007","2018",1.78,38148,704812
"DE0007446007","2019",1.4,75314,714270
"DE0007446007","2020",1.61,15062,645547
"DE0007500001","2008",1.22,1348000,42746000
"DE0007500001","2009",1.28,305000,35050000
"DE0007500001","2010",1.12,1278000,34825000
"DE0007500001","2011",1.3,178000,34704000
"DE0007500001","2012",1.26,1929000,36583000
"DE0007500001","2013",1.11,1911000,31903000
"DE0007500001","2014",1.13,1991000,33980000
"DE0007500001","2015",1.14,3123000,34477000
"DE0007500001","2016",1.13,1455000,31473000
"DE0007500001","2017",1.2,1930000,33367000
"DE0007500001","2018",1.13,147000,28839000
"DE0007500001","2019",1.19,886000,34944000
"DE0007500001","2020",2.26,1199000,25739000
"DE000A0D6554","2008",1.45,15803,980447
"DE000A0D6554","2009",1.65,22441,1023788
"DE000A0D6554","2010",1.54,30843,825569
"DE000A0D6554","2011",1.28,231312,800879
"DE000A0D6554","2012",1.47,27957,841894
"DE000A0D6554","2013",1.54,8824,1250050
"DE000A0D6554","2014",1.46,0,1512751
"DE000A0D6554","2015",1.3,163253,2104062
"DE000A0D6554","2016",1.38,17860,2865375
"DE000A0D6554","2017",1.4,69224,2611234
"DE000A0D6554","2018",1.16,82466,2148873
"DE000A0D6554","2019",1.07,62422,2869800
"DE000A0D6554","2020",0.97,507892,4537377
"DE000A0D9PT0","2008",0.99,277500,2062000
"DE000A0D9PT0","2009",0.88,174500,2040000
"DE000A0D9PT0","2010",1.05,53400,2067900
"DE000A0D9PT0","2011",0.99,208200,2264400
"DE000A0D9PT0","2012",1.11,3400,2695200
"DE000A0D9PT0","2013",1.1,38300,3041700
"DE000A0D9PT0","2014",1.02,54100,3232300
"DE000A0D9PT0","2015",0.95,59800,3692500
"DE000A0D9PT0","2016",1.07,312200,3902900
"DE000A0D9PT0","2017",1.16,101100,4073600
"DE000A0D9PT0","2018",1.12,117300,3599000
"DE000A0D9PT0","2019",1.12,138500,3521000
"DE000A0D9PT0","2020",1.37,213000,3243000
"DE000A0LD6E6","2008",1.1,122508,656800
"DE000A0LD6E6","2009",0.99,115002,609200
"DE000A0LD6E6","2010",1.08,75304,640100
"DE000A0LD6E6","2011",1.44,62648,694700
"DE000A0LD6E6","2012",1.33,44601,779604
"DE000A0LD6E6","2013",1.12,102639,815524
"DE000A0LD6E6","2014",1.1,123766,831001
"DE000A0LD6E6","2015",0.8,249510,871250
"DE000A0LD6E6","2016",1,183087,824967
"DE000A0LD6E6","2017",1.06,337295,849500
"DE000A0LD6E6","2018",0.74,388337,869451
"DE000A0LD6E6","2019",0.61,529771,890943
"DE000A0LD6E6","2020",0.95,213453,869902
"DE000A111338","2008",NA,NA,NA
"DE000A111338","2009",NA,NA,NA
"DE000A111338","2010",NA,NA,NA
"DE000A111338","2011",NA,NA,NA
"DE000A111338","2012",NA,NA,NA
"DE000A111338","2013",3.1,56,10661
"DE000A111338","2014",9.77,38,15342
"DE000A111338","2015",4.05,6683,29749
"DE000A111338","2016",3.98,707,39477
"DE000A111338","2017",7.31,834,37722
"DE000A111338","2018",5.21,1714,32051
"DE000A111338","2019",4.17,2490,24845
"DE000A111338","2020",2.85,2730,26932
"DE000A14KEB5","2008",NA,NA,NA
"DE000A14KEB5","2009",NA,NA,NA
"DE000A14KEB5","2010",NA,NA,NA
"DE000A14KEB5","2011",NA,NA,NA
"DE000A14KEB5","2012",NA,NA,NA
"DE000A14KEB5","2013",NA,NA,NA
"DE000A14KEB5","2014",0.94,41,101213
"DE000A14KEB5","2015",1.39,762,144171
"DE000A14KEB5","2016",1.19,0,141721
"DE000A14KEB5","2017",0.92,2031,152648
"DE000A14KEB5","2018",1.87,10200,168900
"DE000A14KEB5","2019",1.11,19700,197400
"DE000A14KEB5","2020",1.41,17400,264400
"DE000A1PHFF7","2008",2.33,40169,998552
"DE000A1PHFF7","2009",2.05,43916,701149
"DE000A1PHFF7","2010",2.28,18814,696362
"DE000A1PHFF7","2011",1.99,33464,789601
"DE000A1PHFF7","2012",1.26,325072,811240
"DE000A1PHFF7","2013",1.8,13889,760629
"DE000A1PHFF7","2014",1.84,15137,767127
"DE000A1PHFF7","2015",1.76,38692,833837
"DE000A1PHFF7","2016",1.64,71200,778785
"DE000A1PHFF7","2017",1.74,65612,792752
"DE000A1PHFF7","2018",1.8,90609,850720
"DE000A1PHFF7","2019",1.32,277972,658907
"DE000A1PHFF7","2020",1.23,284004,405948
"DE000A2NB601","2008",1.19,113684,356209
"DE000A2NB601","2009",1.67,13532,318567
"DE000A2NB601","2010",1.76,19486,328280
"DE000A2NB601","2011",1.93,4109,337717
"DE000A2NB601","2012",2.08,4692,360417
"DE000A2NB601","2013",2.38,1154,374139
"DE000A2NB601","2014",2.27,5077,361451
"DE000A2NB601","2015",2.35,14850,413052
"DE000A2NB601","2016",2.73,4129,419753
"DE000A2NB601","2017",2.6,19337,456821
"DE000A2NB601","2018",2.27,10123,513033
"DE000A2NB601","2019",2.1,36996,524260
"DE000A2NB601","2020",1.18,130871,473625
"DE000A2NBTL2","2008",1.22,13415,211310
"DE000A2NBTL2","2009",1.21,24779,205172
"DE000A2NBTL2","2010",1.53,11692,208236
"DE000A2NBTL2","2011",1.59,7120,237382
"DE000A2NBTL2","2012",1.9,7039,179742
"DE000A2NBTL2","2013",1.92,6350,192892
"DE000A2NBTL2","2014",2.06,12366,211658
"DE000A2NBTL2","2015",2.19,15322,242901
"DE000A2NBTL2","2016",1.1,132021,256626
"DE000A2NBTL2","2017",1.5,57565,269652
"DE000A2NBTL2","2018",1.06,109229,275320
"DE000A2NBTL2","2019",1.51,14717,263002
"DE000A2NBTL2","2020",1.74,10587,260222
"DE000BAY0017","2008",1.24,6256000,13796000
"DE000BAY0017","2009",1.88,1489000,12323000
"DE000BAY0017","2010",1.69,1889000,14533000
"DE000BAY0017","2011",1.5,3684000,15366000
"DE000BAY0017","2012",1.45,2570000,16446000
"DE000BAY0017","2013",1.36,2160000,18010000
"DE000BAY0017","2014",1.43,1443000,17483000
"DE000BAY0017","2015",1.4,2468000,17875000
"DE000BAY0017","2016",1.64,2889000,16714000
"DE000BAY0017","2017",2.21,1050000,8247000
"DE000BAY0017","2018",1.36,2958000,10266000
"DE000BAY0017","2019",1.4,1975000,11731000
"DE000BAY0017","2020",0.97,8360000,7842000
"DE000CLS1001","2008",1.41,233889,19418143
"DE000CLS1001","2009",1.4,222300,18990000
"DE000CLS1001","2010",1.41,133700,20439500
"DE000CLS1001","2011",1.3,291500,20270400
"DE000CLS1001","2012",1.42,166900,19845700
"DE000CLS1001","2013",1.28,503100,19057800
"DE000CLS1001","2014",1.34,210700,19946600
"DE000CLS1001","2015",1.34,22200,20044800
"DE000CLS1001","2016",1.35,355000,19074100
"DE000CLS1001","2017",1.29,508400,18518000
"DE000CLS1001","2018",1.44,399500,18964000
"DE000CLS1001","2019",1.45,4800,19131200
"DE000CLS1001","2020",1.16,509400,15240000
"DE000EVNK013","2008",1.51,1008000,11978000
"DE000EVNK013","2009",1.59,455000,9108000
"DE000EVNK013","2010",1.56,307000,8707000
"DE000EVNK013","2011",1.81,402000,9644000
"DE000EVNK013","2012",1.38,1438000,9107000
"DE000EVNK013","2013",1.66,966000,8680000
"DE000EVNK013","2014",1.86,277000,8652000
"DE000EVNK013","2015",2.17,178000,8390000
"DE000EVNK013","2016",2.76,288000,7784000
"DE000EVNK013","2017",1.66,298000,9177000
"DE000EVNK013","2018",1.67,180000,9525000
"DE000EVNK013","2019",1.86,754000,8476000
"DE000EVNK013","2020",1.7,297000,7827000
"DE000KBX1006","2008",1.48,92826,2387229
"DE000KBX1006","2009",1.63,55355,1903833
