"ISIN","year","scope_total","NPPE","Debt_TotCap","GMAR","gsector","INTAN_TA","Capex_NPPE","Rev_Emp","FuelInten","Age","CapInt"
"AT0000969985",2020,433300,928505,62.2,19.76,"45",0.0246644917774084,1.08580995555983,97.7221408340658,16.4,13.7389126401001,2.02019934497795
"AT0000758305",2018,55039,339398,50.89,24.54,"20",0.184741369144972,0.242155227785668,149.872727272727,16.7,9.44871262160962,0.408171930667208
"AT000KAPSCH9",2018,488,21409,42.28,38.51,"45",0.116300998114162,0.393853052454575,131.822970146416,16.7,6.31199351701783,0.134824459039
"AT000KAPSCH9",2020,1133,82325,62.15,30.58,"45",0.0854937914917113,0.128211357424841,143.257053291536,16.4,5.75419054441261,0.219721711634828
"AT0000730007",2019,98958,1295238,57.04,46.29,"20",0.153957177385598,0.098150301334581,217.27751009246,17.2,7.32930898703934,0.329105817651339
"AT0000743059",2010,12948700,12828796,35.08,17.12,"10",0.117977813122443,0.171993069341815,742.831995668514,18.2,20.0972540700649,0.963495391910258
"AT000000STR1",2010,1098000,2102364,32.48,31.49,"20",0.0526662187169545,0.241977602356205,168.227404891304,18.2,13.0603722300252,0.371001435443758
"AT0000746409",2010,3687587,5958700,50.51,29.96,"55",0.0552298290673988,0.0773635188883481,1097.14759535655,18.2,50.7136436323581,3.79802896097222
"AT0000720008",2008,120099.95,2975954,64.16,70.67,"50",0.477088932956766,0.286065913653235,304.961601981833,17,15.3748518693985,2.29102382270804
"AT0000831706",2008,2753330,2075878,45.59,33.62,"15",0.176931574283111,0.151154354928372,160.360638438201,17,19.3346138868131,1.51107186512395
"AT0000741053",2018,3741900,3438700,21.7,26.47,"55",0.0234595416307022,0.0891034402535842,303.410920802225,16.7,31.4768734313374,4.23569429701824
"AT0000720008",2018,258791,2716084,53.18,31.39,"50",0.427303527547169,0.259720244292886,232.208233092756,16.7,24.3060186425564,2.79882213583426
"AT0000720008",2010,62069,2548970,70.9,52.84,"50",0.438157541162345,0.279111170394316,281.852190776317,18.2,17.2805558834698,2.61240962122351
"AT0000730007",2018,93350,1132134,51.49,47.87,"20",0.171445875606868,0.101978211059822,199.202556311513,16.7,10.9056361018851,0.319015063529447
"AT0000937503",2018,15200000,6282100,45.44,22.39,"15",0.127263433143936,0.137390363095143,249.855678890374,16.7,21.8836514738346,1.30662593620617
"AT0000785555",2018,389016,335363,63.02,17.43,"20",0.015612674849531,0.222072798728542,129.703528716964,16.7,8.97300111565638,0.961310533397383
"AT000000STR1",2013,1263900,2145517,34.72,31.34,"20",0.0485123897109509,0.213600265110927,170.665581395349,15.9,11.4084714098259,0.41116810389259
"AT0000746409",2009,2688664,5553800,55.83,43.47,"55",0.061216796195337,0.0761894558680543,1235.14184397163,16.5,50.7136436323581,3.44658493870403
"AT0000831706",2010,1977970,1872214,40.91,27.39,"15",0.167941554797344,0.0676119289782044,147.261309925726,18.2,21.1256244580571,2.16438267444313
"AT0000831706",2019,2316000,1882634,41.03,33.96,"15",0.186649205663453,0.114651599833,201.130497853081,17.2,19.7605016172428,1.36241126301574
"AT0000746409",2019,1465000,9244185,20.47,34.99,"55",0.0550777459112875,0.0319722073930801,1370.03939500528,17.2,50.7136436323581,4.6782495708625
"AT0000831706",2009,1766954,1905437,41.27,26.37,"15",0.158307078827225,0.203548582293721,143.332597033765,16.5,47.4807880396814,2.05737955752816
"AT0000720008",2019,274792,3782214,61.51,35.07,"50",0.368286718999956,0.203970214271324,243.639936764065,17.2,20.0883159594336,3.02037307149549
"AT000000STR1",2019,1011203,2627185,26.95,32.53,"20",0.0843055101734522,0.245505360300093,203.702258219686,17.2,12.2139368972035,0.402094919422789
"AT0000743059",2013,13600000,17050756,29.65,10.31,"10",0.114573707329825,0.145733068961869,1551.15195289643,15.9,13.2479429891629,0.703679566369197
"AT0000720008",2009,85673,2675156,71.71,70.38,"50",0.410259349075097,0.301905010399394,289.747360164122,16.5,16.4364962524017,2.49937286325254
"BE0974293251",2020,4710000,21637161,55.71,54.8,"30",0.724173429415618,0.213933750365864,249.633916735392,33.1,9.96626887117213,1.02658035625839
"BE0003822393",2020,1038450,10094400,69.57,18.27,"55",0.165989472712162,0.112022507528927,811.45795078957,33.1,33.7459697117733,6.25253439536568
"BE0974268972",2015,70881,548500,8.68,71.72,"20",0.0433940333204184,0.141476754785779,100.364825764247,30.4,21.113698630137,0.643979276343277
"BE0974320526",2020,747964,2163661,48.04,5.01,"15",0.0427256956098414,0.244718095856976,1554.93025001877,33.1,17.193531411766,0.222444529040784
"BE0003816338",2020,3082997,2561088,35.52,46.71,"10",4.37268963808374e-05,0.00280818152285279,776.253979739508,33.1,14.5044737550471,3.76712625013633
"BE0003755692",2020,144600,205000,11.81,28.91,"35",0.136276391554703,0.185365853658537,232.928990050429,33.1,33.3559322033898,1.15155061439438
"BE0003826436",2020,41994,2288000,86.1333,45.72,"50",0.458946178941805,0.114379370629371,761.89349112426,33.1,10.3413664014974,1.71633271202237
"BE0003766806",2020,9416.11,47595,37.78,43.61,"35",0.0165898580879533,0.096270616661414,204.159031413613,33.1,8.99327635327635,0.252972383837412
"BE0974256852",2020,130589,2391600,6.65,23.74,"30",0.0580701947408956,0.169050008362602,329.742566079295,33.1,15.2855691056911,0.470963364993216
"BE0003810273",2020,97000,3454000,49.4,44.57,"50",0.400593133340938,0.315865662999421,476.494791210715,33.1,11.4462365591398,2.34686753628514
"BE0974259880",2020,154517,262900,3.63,13.28,"25",0.154762603439169,0.191707873716242,1833.14917127072,33.1,15.2890625,0.176943942133816
