Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AIXTRON - CO2 Equivalents Emission Direct,DE000A0WMPJ6(ENERDP024),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.18,NA,322.84
AIXTRON - CO2 Equivalents Emission Indirect,DE000A0WMPJ6(ENERDP025),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6791.8,NA,NA
AKASTOR - CO2 Equivalents Emission Direct,NO0010215684(ENERDP024),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10300,2050,NA,72950
AKASTOR - CO2 Equivalents Emission Indirect,NO0010215684(ENERDP025),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4300,3550,NA,1950
AKER - CO2 Equivalents Emission Direct,NO0010234552(ENERDP024),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1686,854564
AKER - CO2 Equivalents Emission Indirect,NO0010234552(ENERDP025),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,157054
AKER BIOMARINE - CO2 Equivalents Emission Direct,NO0010886625(ENERDP024),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98224
AKER BIOMARINE - CO2 Equivalents Emission Indirect,NO0010886625(ENERDP025),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5218
AKER BP - CO2 Equivalents Emission Direct,NO0010345853(ENERDP024),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,913796,891350,932279,845386
AKER BP - CO2 Equivalents Emission Indirect,NO0010345853(ENERDP025),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126180,159391,143152,157046
AKER CARBON CAPTURE - CO2 Equivalents Emission Direct,NO0010890304(ENERDP024),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
AKER CARBON CAPTURE - CO2 Equivalents Emission Indirect,NO0010890304(ENERDP025),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2
AKER SOLUTIONS - CO2 Equivalents Emission Direct,NO0010716582(ENERDP024),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5782,5230,7347
AKER SOLUTIONS - CO2 Equivalents Emission Indirect,NO0010716582(ENERDP025),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13150,17158,12631
