Name,Code,25/05/2008,25/05/2009,25/05/2010,25/05/2011,25/05/2012,25/05/2013,25/05/2014,25/05/2015,25/05/2016,25/05/2017,25/05/2018,25/05/2019,25/05/2020
STUDSVIK - SHORT TERM DEBT & CURRENT PORT,SE0000653230(WC03051),37742,85353,129933,125537,99284,42288,22817,208243,0,0,199850,85245,62615
SANDVIK - SHORT TERM DEBT & CURRENT PORT,SE0000667891(WC03051),14549000,7574000,3783000,5948000,2698000,7047000,2679000,5190000,4680000,986000,2375000,3026000,4352000
TELIA COMPANY - SHORT TERM DEBT & CURRENT PORT,SE0000667925(WC03051),11621000,8169000,4873000,11734000,8989000,7851000,3578000,9266000,3628000,3471000,9215000,19757000,8194000
CELLAVISION - SHORT TERM DEBT & CURRENT PORT,SE0000683484(WC03051),20801,13661,20835,15719,14272,19978,0,0,0,0,0,50766,45874
ALFA LAVAL - SHORT TERM DEBT & CURRENT PORT,SE0000695876(WC03051),305000,319000,310000,250000,627000,1277000,1522000,2273000,1322000,1615000,3521000,2280000,2019000
LUNDIN ENERGY - SHORT TERM DEBT & CURRENT PORT,SE0000825820(WC03051),53893,230575,3022,0,0,0,0,0,0,0,0,913007,50189
BILLERUDKORSNAS - SHORT TERM DEBT & CURRENT PORT,SE0000862997(WC03051),580000,697000,150000,0,2700000,2958000,2417000,1368000,1142000,1551000,1894000,582000,984000
SWEDISH ORPHAN BIOVITRUM - SHORT TERM DEBT & CURRENT PORT,SE0000872095(WC03051),0,50000,164286,0,0,52735,42096,20000,0,0,0,99000,4126000
INTRUM - SHORT TERM DEBT & CURRENT PORT,SE0000936478(WC03051),161700,2432000,400,621200,850000,650000,813000,652000,2258000,3272000,3421000,4237000,4236000
NOBIA - SHORT TERM DEBT & CURRENT PORT,SE0000949331(WC03051),50000,50000,43000,73000,127000,1000,4000,4000,801000,1000,74000,362000,405000
PROBI - SHORT TERM DEBT & CURRENT PORT,SE0001280355(WC03051),0,0,0,0,0,0,0,0,225717,175868,118462,14556,13873
INDUTRADE - SHORT TERM DEBT & CURRENT PORT,SE0001515552(WC03051),490000,375000,716000,1007000,1424000,381000,1635000,2028000,1686000,2724000,1806000,2142000,1186000
DIOS FASTIGHETER - SHORT TERM DEBT & CURRENT PORT,SE0001634262(WC03051),304003,318612,1667,7200,7200,7000,7000,249000,50000,2066000,2616000,6117000,3089000
HUSQVARNA B - SHORT TERM DEBT & CURRENT PORT,SE0001662230(WC03051),3159000,661000,309000,968000,2061000,1298000,1303000,2016000,1494000,2913000,3532000,3151000,3229000
CATENA - SHORT TERM DEBT & CURRENT PORT,SE0001664707(WC03051),14127,6466,6209,0,0,8500,1053500,997500,3669200,1316700,2346600,4039900,3655700
LINDAB INTERNATIONAL - SHORT TERM DEBT & CURRENT PORT,SE0001852419(WC03051),289000,166000,68000,104000,204000,166000,107000,77000,31000,69000,60000,269000,251000
ARISE - SHORT TERM DEBT & CURRENT PORT,SE0002095604(WC03051),0,13140,47000,82000,107000,116000,80000,58000,348000,50000,97000,3000,21000
MEKONOMEN - SHORT TERM DEBT & CURRENT PORT,SE0002110064(WC03051),53000,29000,85000,198000,296000,276000,493000,461000,404000,255000,1080000,1205000,816000
HEXATRONIC GROUP - SHORT TERM DEBT & CURRENT PORT,SE0002367797(WC03051),0,536,2067,0,0,0,0,13333,0,23510,86320,136607,123347
TOBII AB - SHORT TERM DEBT & CURRENT PORT,SE0002591420(WC03051),NA,NA,NA,NA,0,0,57000,0,0,0,0,28700,25700
CLOETTA 'B' - SHORT TERM DEBT & CURRENT PORT,SE0002626861(WC03051),50300,0,0,24000,747000,212000,423000,344000,0,999000,500000,1869000,2367000
SAS - SHORT TERM DEBT & CURRENT PORT,SE0003366871(WC03051),1643000,6649000,2371000,3306000,1814000,2748000,2082000,1264000,1827000,2868000,2272000,784000,5813000
BULTEN - SHORT TERM DEBT & CURRENT PORT,SE0003849223(WC03051),327400,460900,112300,24300,29000,46000,2200,52200,3700,2000,2000,59000,130000
SAGAX - SHORT TERM DEBT & CURRENT PORT,SE0004635878(WC03051),108700,136400,353600,313100,232700,163000,140000,540000,1600000,1679000,1817000,1385000,1851000
TELE2 B - SHORT TERM DEBT & CURRENT PORT,SE0005190238(WC03051),7517000,279000,1117000,1554000,2633000,1557000,2609000,4964000,3037000,567000,6426000,4468000,4490000
BUFAB - SHORT TERM DEBT & CURRENT PORT,SE0005677135(WC03051),NA,316600,298000,326500,261700,230000,75000,155000,80000,57000,76000,175000,95000
SCANDI STANDARD - SHORT TERM DEBT & CURRENT PORT,SE0005999760(WC03051),NA,NA,NA,NA,NA,243000,38900,60900,93800,1905600,5000,117000,107000
AFRY - SHORT TERM DEBT & CURRENT PORT,SE0005999836(WC03051),264999,289422,224100,19600,441100,416400,353800,404400,267000,1199000,688000,852000,1439000
GRANGES - SHORT TERM DEBT & CURRENT PORT,SE0006288015(WC03051),NA,NA,NA,679000,457000,412000,401000,0,436000,576000,515000,2392000,2159000
THULE GROUP - SHORT TERM DEBT & CURRENT PORT,SE0006422390(WC03051),NA,NA,NA,101000,200000,256000,258000,5000,6000,8000,9000,53000,52000
DUSTIN GROUP - SHORT TERM DEBT & CURRENT PORT,SE0006625471(WC03051),NA,NA,NA,NA,87809,184172,185319,130722,0,16500,12600,0,163500
SDIPTECH PF.SHS. - SHORT TERM DEBT & CURRENT PORT,SE0006758348(WC03051),NA,NA,NA,NA,NA,NA,0,38500,151800,135700,355000,66200,71900
HOIST FINANCE - SHORT TERM DEBT & CURRENT PORT,SE0006887063(WC03051),NA,NA,NA,NA,0,0,0,0,0,0,0,0,1798000
AXFOOD - SHORT TERM DEBT & CURRENT PORT,SE0006993770(WC03051),704000,302000,442000,633000,366000,64000,62000,40000,39000,49000,52000,1377000,1184000
COLLECTOR - SHORT TERM DEBT & CURRENT PORT,SE0007048020(WC03051),NA,NA,NA,NA,2667889,3551800,4698604,7610000,12032000,17081000,24096000,31252000,29329000
HEXPOL B - SHORT TERM DEBT & CURRENT PORT,SE0007074281(WC03051),163000,127000,683000,68000,1581000,34000,348000,32000,29000,15000,24000,1249000,97000
#ERROR,,"$$ER: E100,NO WORLDSCOPE DATA FOR THIS CODE",,,,,,,,,,,,
#ERROR,,"$$ER: E100,NO WORLDSCOPE DATA FOR THIS CODE",,,,,,,,,,,,
PANDOX B - SHORT TERM DEBT & CURRENT PORT,SE0007100359(WC03051),NA,NA,NA,NA,NA,NA,NA,1826000,537000,2705000,8448000,6064000,5445000
ASSA ABLOY B - SHORT TERM DEBT & CURRENT PORT,SE0007100581(WC03051),7588000,1901000,2864000,7606000,3301000,4875000,4636000,4574000,3929000,6151000,7594000,6611000,4599000
SVENSKA HANDELSBANKEN A - SHORT TERM DEBT & CURRENT PORT,SE0007100599(WC03051),845375000,750915000,679497000,865783000,749000000,179228000,200242000,163770000,734895000,174820000,194082000,906066000,774622000
ALIMAK GROUP - SHORT TERM DEBT & CURRENT PORT,SE0007158910(WC03051),NA,NA,NA,NA,145956,173477,248531,77823,78677,44900,111900,148100,105200
NOBINA - SHORT TERM DEBT & CURRENT PORT,SE0007185418(WC03051),NA,NA,NA,NA,NA,496000,565000,634000,752000,679000,726000,786000,901000
STORYTEL B - SHORT TERM DEBT & CURRENT PORT,SE0007439443(WC03051),1207,0,0,0,NA,0,0,27332,41225,45887,30007,203798,2116
SCANDIC HOTELS GROUP - SHORT TERM DEBT & CURRENT PORT,SE0007640156(WC03051),NA,828500,0,0,0,0,232200,0,5000,67000,1093000,2777000,2051000
ATTENDO - SHORT TERM DEBT & CURRENT PORT,SE0007666110(WC03051),NA,NA,222491,3863959,555000,64000,253000,26000,62000,65000,2138000,864000,919000
DOMETIC GROUP - SHORT TERM DEBT & CURRENT PORT,SE0007691613(WC03051),NA,NA,NA,NA,NA,NA,85000,462000,329000,733000,393000,163000,1139000
KINDRED GROUP SDR - SHORT TERM DEBT & CURRENT PORT,SE0007871645(WC03051),0,21403,6885,0,13535,0,0,56700,54600,62600,45000,11700,12100
ACADEMEDIA - SHORT TERM DEBT & CURRENT PORT,SE0007897079(WC03051),NA,NA,NA,135161,157736,207226,468526,715000,568000,516000,673000,591000,1280000
