Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
SIXT LEASING SE - TOTAL DEBT % TOTAL CAPITAL/STD,DE000A0DPRE6(WC08221),NA,NA,NA,NA,NA,78.44,93.85,95.48,35.29,64.5,80.85,82.56,80.53,81.47
ALLEGRO.EU - TOTAL DEBT % TOTAL CAPITAL/STD,LU2237380790(WC08221),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.21,34.32,49,40.52
ALLIANZ SE - TOTAL DEBT % TOTAL CAPITAL/STD,DE0008404005(WC08221),NA,39.5,38.81,36.15,37.55,33.76,35.86,31.63,32.71,32.69,34.19,36.69,33.33,34.28
ALLIGATOR BIOSCIE - TOTAL DEBT % TOTAL CAPITAL/STD,SE0000767188(WC08221),NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,6.19,9.48
ALM. BRAND A/S - TOTAL DEBT % TOTAL CAPITAL/STD,DK0015250344(WC08221),NA,68.75,78.1,75.23,74.78,57.29,45.04,34.62,19.77,19.6,15.51,17.48,25.77,23.61
ALM EQUITY AB (PUBL) - TOTAL DEBT % TOTAL CAPITAL/STD,SE0000540163(WC08221),NA,2.95,0,0,0,0,0,54.84,48.43,61.26,44.04,43.4,57.08,56.75
ALMIRALL SA - TOTAL DEBT % TOTAL CAPITAL/STD,ES0157097017(WC08221),NA,31.47,24.77,25.69,18.79,0.4,22.39,19.61,18.39,17.26,18.07,31.55,27.92,27.38
ALPHA SERVICES - TOTAL DEBT % TOTAL CAPITAL/STD,GRS015003007(WC08221),NA,86.91,79.5,80.69,94.83,97.73,71,71.12,73.89,68.5,59.05,58.41,57.76,63.49
ALSTOM SA - TOTAL DEBT % TOTAL CAPITAL/STD,FR0010220475(WC08221),NA,46.12,31.97,38.77,51.61,52.82,49.26,52.83,55.11,42.94,35.45,29.77,24.06,32.98
ALSTRIA OFFICE - TOTAL DEBT % TOTAL CAPITAL/STD,DE000A0LD2U1(WC08221),NA,60.11,62.1,53.42,52.8,51.82,51.5,51.02,55.79,45.4,42.23,32.95,34.6,33.87
ALTEN - TOTAL DEBT % TOTAL CAPITAL/STD,FR0000071946(WC08221),NA,16.21,14.05,4.23,3.75,1.79,4.3,7.35,10.29,10.9,6.37,9.99,21.48,17.54
ALTRI SGPS S.A. - TOTAL DEBT % TOTAL CAPITAL/STD,PTALT0AE0002(WC08221),NA,90.47,91.81,86.23,83.94,79.06,76.12,73.34,66.81,67.38,58.79,56.12,62.29,64.26
AMADEUS FIRE AG - TOTAL DEBT % TOTAL CAPITAL/STD,DE0005093108(WC08221),NA,0,0,0,0,0,0,0,0,0,0,0,79.4,58.01
AMADEUS IT GROUP SA - TOTAL DEBT % TOTAL CAPITAL/STD,ES0109067019(WC08221),NA,113.46,106.85,80.04,63.63,55.02,47.69,49.41,50.28,46.39,44.79,54.86,48.45,60.01
AMBEA AB (PUBL) - TOTAL DEBT % TOTAL CAPITAL/STD,SE0009663826(WC08221),NA,NA,NA,NA,NA,NA,NA,32.09,33.37,53.57,46.74,44.09,66.38,66.01
AMBU A/S - TOTAL DEBT % TOTAL CAPITAL/STD,DK0060946788(WC08221),NA,23.25,22.4,19.17,18.35,11.91,53.74,49.14,42.92,49.95,38.06,41,34.61,38.07
AMG ADVANCED METAL - TOTAL DEBT % TOTAL CAPITAL/STD,NL0000888691(WC08221),NA,42.64,47.08,50.26,54.82,59.16,66.05,65.84,45.13,45.89,40.09,52.58,80.25,84.26
AMPLIFON SPA - TOTAL DEBT % TOTAL CAPITAL/STD,IT0004056880(WC08221),NA,60.91,51.62,58.32,53.33,48.42,52.85,50.57,44.95,42.53,41.38,60.44,65.8,66.07
AMUNDI SA - TOTAL DEBT % TOTAL CAPITAL/STD,FR0004125920(WC08221),NA,NA,NA,NA,NA,21.42,20.8,25.35,26.52,32.7,34.66,44.49,51.49,57.92
ANDRITZ AG - TOTAL DEBT % TOTAL CAPITAL/STD,AT0000730007(WC08221),NA,42.79,39.09,35.68,31.73,43.34,40.57,39.3,28.45,30.03,39.73,51.49,57.04,54.97
ANHEUSER BUSCH IN - TOTAL DEBT % TOTAL CAPITAL/STD,BE0974293251(WC08221),NA,71.09,59.68,53.64,49.46,49.39,47.04,48.51,51.97,60.12,59.22,60.45,54.93,55.71
ANIMA HOLDING - TOTAL DEBT % TOTAL CAPITAL/STD,IT0004998065(WC08221),NA,NA,NA,NA,47.93,42.47,35.39,20.05,18.26,17.64,44.44,34.21,37.06,34.4
ANORA GROUP OYJ - TOTAL DEBT % TOTAL CAPITAL/STD,FI4000292438(WC08221),NA,NA,NA,NA,NA,46.6,52.5,49.37,36.12,27.44,42.28,37.35,38.11,44.79
APERAM - TOTAL DEBT % TOTAL CAPITAL/STD,LU0569974404(WC08221),NA,38.81,34.39,33.39,24.63,24.62,24.92,21.5,17.27,16.16,8.74,8.93,15.69,16.17
APPLUS SERVICES SA - TOTAL DEBT % TOTAL CAPITAL/STD,ES0105022000(WC08221),NA,NA,NA,NA,99.83,75.56,77.42,55.49,55.73,54.42,44.09,43.25,48.49,59.07
AQUAFIL - TOTAL DEBT % TOTAL CAPITAL/STD,IT0005241192(WC08221),NA,NA,NA,NA,NA,71.52,69.93,70.8,59.29,67.15,62.82,64.69,70.54,77.11
ARCADIS NV - TOTAL DEBT % TOTAL CAPITAL/STD,NL0006237562(WC08221),NA,56.14,50.41,49.83,47.73,48.28,37.45,44.29,41.55,43.03,41.32,38.39,48.31,46.12
ARCANDOR AG - TOTAL DEBT % TOTAL CAPITAL/STD,DE0006275001(WC08221),NA,74.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARCELORMITTAL SA - TOTAL DEBT % TOTAL CAPITAL/STD,LU1598757687(WC08221),NA,36.52,27.5,28.24,30.4,32.27,31.99,33.31,45.58,29.73,24.04,22.06,26.16,25.04
ARENDALS FOSSEKOMP. - TOTAL DEBT % TOTAL CAPITAL/STD,NO0003572802(WC08221),NA,53.59,43.59,37.81,45.34,42.34,42.62,49.44,44.34,44.27,34.22,23.85,26.45,27.21
ARGENX SE - TOTAL DEBT % TOTAL CAPITAL/STD,NL0010832176(WC08221),NA,NA,NA,0,7.29,11.85,0,0,0,0,0,0,0.62,0.57
ARION BANKI HF - TOTAL DEBT % TOTAL CAPITAL/STD,IS0000028157(WC08221),NA,NA,NA,NA,NA,NA,NA,61.13,NA,62.17,63.48,68.34,63.6,63.81
ARISE AB - TOTAL DEBT % TOTAL CAPITAL/STD,SE0002095604(WC08221),NA,43.7,46.86,40.28,53.18,59.47,58.58,58.56,57.47,55.86,57.25,55.29,57.26,47.3
ARJO AB (PUBL) - TOTAL DEBT % TOTAL CAPITAL/STD,SE0010468116(WC08221),NA,NA,NA,NA,NA,NA,NA,13.21,13.84,13.76,50.71,51.1,52.6,52.28
ARKEMA SA - TOTAL DEBT % TOTAL CAPITAL/STD,FR0010313833(WC08221),NA,21.78,19.17,21.71,27.83,35.28,35.63,40.85,46.02,43.97,45.68,41.95,44.63,43.54
ARNOLDO MONDADORI ED - TOTAL DEBT % TOTAL CAPITAL/STD,IT0001469383(WC08221),NA,63.37,49.23,43.93,41.85,51.31,62.82,51.35,43.65,50.86,41.99,57.89,57.46,56.27
AROUNDTOWN SA - TOTAL DEBT % TOTAL CAPITAL/STD,LU1673108939(WC08221),NA,NA,NA,NA,NA,NA,46.93,26.21,40.52,53.75,50.79,51.8,53.66,54.82
ASCENDIS PHAR - TOTAL DEBT % TOTAL CAPITAL/STD,US04351P1012(WC08221),NA,NA,NA,NA,NA,11.99,0,0,0,0,0,0,5.78,9.88
