Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AKER SOLUTIONS ASA - NET SALES OR REVENUES,NO0010716582(WC01001),NK,NA,NA,NA,22083000,28373000,29125000,32971000,31896000,25557000,22461000,25232000,29263000,29396000
AKKA TECHNOLOGIE - OPTG INC BEFORE DEP & AMORT,FR0004180537(WC18155),E,25514,19210,32333,40467,60021,67746,67233,72279,86552,98614,119193,162629,-118392
AKKA TECHNOLOGIE - NET SALES OR REVENUES,FR0004180537(WC01001),E,381551,332688,400273,474115,827286,878825,885611,1001687,1122671,1334388,1505326,1801486,1503454
AKTIA BANK ABP - OPTG INC BEFORE DEP & AMORT,FI4000058870(WC18155),E,-2185,53147,82717,53882,64335,71482,73524,72170,68915,58521,80457,96042,73400
AKTIA BANK ABP - NET SALES OR REVENUES,FI4000058870(WC01001),E,446341,380678,363119,390271,346558,301669,387261,257000,234913,222740,220283,236578,212715
AKVA GROUP ASA - OPTG INC BEFORE DEP & AMORT,NO0003097503(WC18155),NK,52746,-11526,-9915,61953,57816,46905,103364,130532,136504,225243,225054,245684,320699
AKVA GROUP ASA - NET SALES OR REVENUES,NO0003097503(WC01001),NK,866525,599345,742521,893552,831530,918670,1246059,1420712,1595385,2073241,2566760,3050514,3159453
AKWEL SA - OPTG INC BEFORE DEP & AMORT,FR0000053027(WC18155),E,16547,37031,44213,47100,55315,73975,73239,107124,139776,145450,112151,132104,154687
AKWEL SA - NET SALES OR REVENUES,FR0000053027(WC01001),E,419874,358246,410474,533921,669890,663797,692073,860356,963637,1024225,1062170,1101162,937178
AKZO NOBEL N.V. - OPTG INC BEFORE DEP & AMORT,NL0013267909(WC18155),E,1231000,1763000,1963000,1783000,1967000,1503000,1690000,2088000,2108000,1432000,1031000,1351000,1470000
AKZO NOBEL N.V. - NET SALES OR REVENUES,NL0013267909(WC01001),E,15415000,13893000,14640000,15697000,15390000,14590000,14296000,14859000,14197000,9612000,9256000,9276000,8530000
ALBIOMA SA - OPTG INC BEFORE DEP & AMORT,FR0000060402(WC18155),E,97297,84252,91076,104955,95631,115015,114609,106913,121320,127375,155489,178287,198011
ALBIOMA SA - NET SALES OR REVENUES,FR0000060402(WC01001),E,323823,275604,330399,388398,381262,364280,354049,349615,367814,403223,428311,505676,506728
ALD SA - OPTG INC BEFORE DEP & AMORT,FR0013258662(WC18155),E,NA,NA,NA,NA,2534200,2756600,3215300,3560600,3745700,4159600,4363500,4717800,4477400
ALD SA - NET SALES OR REVENUES,FR0013258662(WC01001),E,NA,NA,NA,NA,5798600,5945300,6316500,6831600,7565400,8266400,8972100,9777500,9934200
ALFA LAVAL AB - OPTG INC BEFORE DEP & AMORT,SE0000695876(WC18155),SK,6044000,4534000,4703000,5333000,4973000,4910000,5895000,6975000,5568000,5640000,6574000,8057000,7577000
ALFA LAVAL AB - NET SALES OR REVENUES,SE0000695876(WC01001),SK,27850000,26039000,24720000,28652000,29813000,29934000,35067000,39746000,35634000,35314000,40666000,46517000,41468000
ALFEN NV - OPTG INC BEFORE DEP & AMORT,NL0012817175(WC18155),E,NA,NA,NA,NA,NA,NA,NA,2259,2802,3047,692,13777,23841
ALFEN NV - NET SALES OR REVENUES,NL0012817175(WC01001),E,NA,NA,NA,NA,NA,NA,NA,50548,61522,73368,100180,143075,189010
ALIMAK GROUP - OPTG INC BEFORE DEP & AMORT,SE0007158910(WC18155),SK,NA,NA,NA,NA,293505,316876,336253,402123,357310,529600,557500,690100,452300
ALIMAK GROUP - NET SALES OR REVENUES,SE0007158910(WC01001),SK,NA,NA,NA,NA,1498327,1517145,1742476,2036291,2048608,4000700,4320400,4587400,3740300
ALIOR BANK SA - OPTG INC BEFORE DEP & AMORT,PLALIOR00045(WC18155),PZ,NA,-299964,-74562,222044,302310,370140,527017,496476,324681,975618,1237164,822009,285705
ALIOR BANK SA - NET SALES OR REVENUES,PLALIOR00045(WC01001),PZ,NA,351533,854034,1494482,2222549,2201010,2445551,3191046,3810944,4410736,5364685,5180864,4400054
ALK-ABELLO A/S - OPTG INC BEFORE DEP & AMORT,DK0060027142(WC18155),DK,174000,223000,264000,404000,306000,256000,449000,452000,698000,251000,70000,231000,394000
ALK-ABELLO A/S - NET SALES OR REVENUES,DK0060027142(WC01001),DK,1784000,1935000,2140000,2348000,2345000,2244000,2433000,2569000,3005000,2910000,2915000,3274000,3491000
SIXT LEASING SE - OPTG INC BEFORE DEP & AMORT,DE000A0DPRE6(WC18155),E,NA,NA,NA,NA,176760,186406,203714,219685,220158,226094,233361,219810,198795
SIXT LEASING SE - NET SALES OR REVENUES,DE000A0DPRE6(WC01001),E,NA,NA,NA,NA,556473,546124,575040,665378,713881,743951,805797,824432,747723
ALLEGRO.EU - OPTG INC BEFORE DEP & AMORT,LU2237380790(WC18155),PZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,599457,1022871,1231018,1476913
ALLEGRO.EU - NET SALES OR REVENUES,LU2237380790(WC01001),PZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,1662705,1978017,2592306,3997811
ALLIANZ SE - OPTG INC BEFORE DEP & AMORT,DE0008404005(WC18155),E,5076000,8413000,9967000,7760000,11562000,14950000,10710000,13422000,13390000,17939000,15322000,15518000,24000000
ALLIANZ SE - NET SALES OR REVENUES,DE0008404005(WC01001),E,87965000,88251000,93596000,94193000,100268000,101525000,99703000,107823000,107783000,111843000,105382000,113677000,122780000
ALLIGATOR BIOSCIE - OPTG INC BEFORE DEP & AMORT,SE0000767188(WC18155),SK,NA,NA,NA,NA,NA,NA,-75198,221931,-32518,-59990,-146346,-201625,-133678
ALLIGATOR BIOSCIE - NET SALES OR REVENUES,SE0000767188(WC01001),SK,NA,NA,NA,NA,NA,NA,0,289797,58240,56875,26959,4358,4352
ALM. BRAND A/S - OPTG INC BEFORE DEP & AMORT,DK0015250344(WC18155),DK,672000,-440000,-3000,57000,1078000,1381000,976000,934000,1331000,1167000,937000,961000,1239000
ALM. BRAND A/S - NET SALES OR REVENUES,DK0015250344(WC01001),DK,7897000,7303000,7038000,6813000,6984000,7356000,7634000,7577000,7489000,7773000,8608000,8445000,7352000
ALM EQUITY AB (PUBL) - OPTG INC BEFORE DEP & AMORT,SE0000540163(WC18155),SK,NA,NA,NA,NA,NA,NA,169339,192625,218357,458981,191009,178000,237000
ALM EQUITY AB (PUBL) - NET SALES OR REVENUES,SE0000540163(WC01001),SK,157951,52764,147107,318499,417727,364496,895702,934427,1448199,3351391,2598494,1681000,1759000
