Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AKKA TECHNOLOGIE - TOTAL ASSETS,FR0004180537(WC02999),E,290354,297887,318988,380798,598691,620471,768350,870620,816361,1262229,1222197,1572488,1895118
"AKKA TECHNOLOGIE - PROPERTY, PLANT & EQUIP - NET",FR0004180537(WC02501),E,7543,6498,7829,11636,52144,49965,45301,46170,55520,82927,91160,241650,217476
AKTIA BANK ABP - TOTAL ASSETS,FI4000058870(WC02999),E,9524476,10549804,11005749,11043061,11216737,10917591,10693712,9871796,9478164,9545813,9263746,9694236,10570318
"AKTIA BANK ABP - PROPERTY, PLANT & EQUIP - NET",FI4000058870(WC02501),E,9769,8080,6747,7615,5656,6623,8240,8692,7672,4812,3217,13938,27937
AKVA GROUP ASA - TOTAL ASSETS,NO0003097503(WC02999),NK,662601,586507,656650,685635,642623,696864,882947,1070468,1362635,1649318,2686961,3017280,3215822
"AKVA GROUP ASA - PROPERTY, PLANT & EQUIP - NET",NO0003097503(WC02501),NK,41509,39071,41607,41939,45763,55003,74009,103495,150568,246146,332381,781105,749124
AKWEL SA - TOTAL ASSETS,FR0000053027(WC02999),E,237815,220617,231253,360794,380287,380444,481603,572475,672391,746036,798272,858340,888792
"AKWEL SA - PROPERTY, PLANT & EQUIP - NET",FR0000053027(WC02501),E,88604,82077,78132,112985,126182,126062,157688,180157,200640,244571,283788,305579,279747
AKZO NOBEL N.V. - TOTAL ASSETS,NL0013267909(WC02999),E,17844000,18087000,19300000,19056000,17133000,14992000,15147000,14906000,15179000,15603000,18225000,12455000,12680000
"AKZO NOBEL N.V. - PROPERTY, PLANT & EQUIP - NET",NL0013267909(WC02501),E,3357000,3474000,3384000,3705000,3739000,3589000,3835000,4003000,4190000,1832000,1748000,2074000,1945000
ALBIOMA SA - TOTAL ASSETS,FR0000060402(WC02999),E,963715,1049738,1158666,1182884,1181511,1111302,1139734,1188471,1322031,1411893,1599901,1754170,1748258
"ALBIOMA SA - PROPERTY, PLANT & EQUIP - NET",FR0000060402(WC02501),E,618184,683249,783936,833511,764258,761299,792015,849926,941170,1042385,1161887,1272302,1311949
ALD SA - TOTAL ASSETS,FR0013258662(WC02999),E,NA,NA,NA,NA,12866800,12924300,14026600,15603500,18385000,21079800,23083000,25417600,24892400
"ALD SA - PROPERTY, PLANT & EQUIP - NET",FR0013258662(WC02501),E,NA,NA,NA,NA,9444900,9603500,10340700,11721000,14150300,16430500,18530400,20586300,20327800
ALFA LAVAL AB - TOTAL ASSETS,SE0000695876(WC02999),SK,27814000,24839000,25868000,33210000,33871000,33537000,53800000,50132000,51322000,50960000,56317000,62595000,59068000
"ALFA LAVAL AB - PROPERTY, PLANT & EQUIP - NET",SE0000695876(WC02501),SK,3546000,3548000,3512000,3936000,3823000,3796000,5004000,4773000,4940000,4851000,5732000,8943000,8321000
ALFEN NV - TOTAL ASSETS,NL0012817175(WC02999),E,NA,NA,NA,NA,NA,NA,NA,17161,22551,29432,56166,76592,146541
"ALFEN NV - PROPERTY, PLANT & EQUIP - NET",NL0012817175(WC02501),E,NA,NA,NA,NA,NA,NA,NA,1580,3163,4435,7187,16360,24056
ALIMAK GROUP - TOTAL ASSETS,SE0007158910(WC02999),SK,NA,NA,NA,NA,2619552,2643178,3157927,3291194,3237970,5515000,5872400,6251000,5476500
"ALIMAK GROUP - PROPERTY, PLANT & EQUIP - NET",SE0007158910(WC02501),SK,NA,NA,NA,NA,280004,260753,276561,268060,258736,360400,357800,631800,559300
ALIOR BANK SA - TOTAL ASSETS,PLALIOR00045(WC02999),PZ,NA,6198801,9230862,15411665,21273593,25406078,30019719,39727557,60678482,68924200,72384263,75591538,77483322
"ALIOR BANK SA - PROPERTY, PLANT & EQUIP - NET",PLALIOR00045(WC02501),PZ,NA,185408,215703,212392,214887,215121,191835,228955,485796,475691,460659,763585,702381
ALK-ABELLO A/S - TOTAL ASSETS,DK0060027142(WC02999),DK,2447000,2600000,2765000,3286000,3213000,3132000,3251000,3874000,4350000,4492000,4317000,4875000,4866000
"ALK-ABELLO A/S - PROPERTY, PLANT & EQUIP - NET",DK0060027142(WC02501),DK,976000,1094000,1195000,1236000,1323000,1405000,1549000,1571000,1627000,1578000,1584000,1739000,1704000
SIXT LEASING SE - TOTAL ASSETS,DE000A0DPRE6(WC02999),E,NA,NA,NA,NA,841961,921432,1080811,1112815,1169406,1441469,1391286,1327270,1294756
"SIXT LEASING SE - PROPERTY, PLANT & EQUIP - NET",DE000A0DPRE6(WC02501),E,NA,NA,NA,NA,725883,774909,902677,958150,1021219,1220006,1205373,1133253,1106909
ALLEGRO.EU - TOTAL ASSETS,LU2237380790(WC02999),PZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,14555648,14751832,14268301,15147599
"ALLEGRO.EU - PROPERTY, PLANT & EQUIP - NET",LU2237380790(WC02501),PZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,196325,164087,147709,150820
ALLIANZ SE - TOTAL ASSETS,DE0008404005(WC02999),E,936981000,567767000,609147000,626277000,680097000,695569000,789203000,830441000,864489000,881400000,877266000,988871000,1035232000
"ALLIANZ SE - PROPERTY, PLANT & EQUIP - NET",DE0008404005(WC02501),E,5480000,5838000,6214000,6161000,6667000,6732000,7464000,8811000,9538000,9647000,9682000,12542000,12375000
ALLIGATOR BIOSCIE - TOTAL ASSETS,SE0000767188(WC02999),SK,NA,NA,NA,NA,NA,NA,97794,416256,700780,643033,508156,311128,151938
